Cutoff,FeatureSet,Model,Balancing,BalAcc_Mean,BalAcc_Std,RecallBK_Mean,RecallBK_Std,F1Macro_Mean,F1Macro_Std,PrecBK_Mean
C2,S4,RF,Class_Weight,0.945833333,0.1072606,0.9,0.207019668,0.949135305,0.092816174,0.944444444
C2,S4,DT,SMOTE,0.958194444,0.085700988,0.933333333,0.175932888,0.944585342,0.073177947,0.911111111
C2,S4,RF,SMOTE,0.941388889,0.110982006,0.9,0.207019668,0.934616704,0.105526053,0.888888889
C2,S5,DT,None,0.958055556,0.099405683,0.933333333,0.175932888,0.948881473,0.101734769,0.911111111
C2,S5,RF,None,0.945833333,0.1072606,0.9,0.207019668,0.949135305,0.092816174,0.944444444
C2,S5,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C2,S5,DT,Class_Weight,0.958055556,0.099405683,0.933333333,0.175932888,0.948881473,0.101734769,0.911111111
C2,S5,RF,Class_Weight,0.943611111,0.111854593,0.9,0.207019668,0.942432796,0.105752344,0.911111111
C2,S5,DT,SMOTE,0.943472222,0.112860057,0.9,0.207019668,0.944502197,0.10605519,0.933333333
C2,S5,RF,SMOTE,0.941388889,0.110982006,0.9,0.207019668,0.934616704,0.105526053,0.888888889
C3,S1,DT,None,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C3,S1,RF,None,0.943472222,0.112860057,0.9,0.207019668,0.944502197,0.10605519,0.933333333
C3,S1,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C3,S1,DT,Class_Weight,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C3,S1,RF,Class_Weight,0.941388889,0.116902575,0.9,0.207019668,0.937873409,0.117051866,0.9
C3,S1,DT,SMOTE,0.960277778,0.092991197,0.933333333,0.175932888,0.95344086,0.087891023,0.922222222
C3,S1,RF,SMOTE,0.945694444,0.107576531,0.9,0.207019668,0.949061584,0.093087906,0.944444444
C3,S2,DT,None,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C3,S2,RF,None,0.932361111,0.115079733,0.877777778,0.213313491,0.936760261,0.105953131,0.933333333
C3,S2,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C3,S2,DT,Class_Weight,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C3,S2,RF,Class_Weight,0.923333333,0.133154642,0.855555556,0.250924218,0.933494132,0.120397583,0.955555556
C3,S2,DT,SMOTE,0.960277778,0.092991197,0.933333333,0.175932888,0.95344086,0.087891023,0.922222222
C3,S2,RF,SMOTE,0.947777778,0.108354699,0.9,0.207019668,0.956803519,0.09210276,0.966666667
C3,S3,DT,None,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C3,S3,RF,None,0.920138889,0.114357642,0.844444444,0.231169101,0.935900945,0.083787916,0.977777778
C3,S3,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C3,S3,DT,Class_Weight,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C3,S3,RF,Class_Weight,0.934722222,0.109849923,0.877777778,0.213313491,0.941393369,0.093113197,0.944444444
C3,S3,DT,SMOTE,0.941388889,0.154465738,0.9,0.280305955,0.934551971,0.150533721,0.888888889
C3,S3,RF,SMOTE,0.943472222,0.106715445,0.9,0.207019668,0.941245492,0.093426826,0.922222222
C3,S4,DT,None,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C3,S4,RF,None,0.943611111,0.111854593,0.9,0.207019668,0.942432796,0.105752344,0.911111111
C3,S4,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C3,S4,DT,Class_Weight,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C3,S4,RF,Class_Weight,0.945833333,0.1072606,0.9,0.207019668,0.949135305,0.092816174,0.944444444
C3,S4,DT,SMOTE,0.941666667,0.138181482,0.9,0.280305955,0.923579749,0.145162941,0.855555556
C3,S4,RF,SMOTE,0.960277778,0.092991197,0.933333333,0.175932888,0.95344086,0.087891023,0.922222222
C3,S5,DT,None,0.941388889,0.154465738,0.9,0.280305955,0.934551971,0.150533721,0.888888889
C3,S5,RF,None,0.943611111,0.111854593,0.9,0.207019668,0.942432796,0.105752344,0.911111111
C3,S5,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C3,S5,DT,Class_Weight,0.941388889,0.154465738,0.9,0.280305955,0.934551971,0.150533721,0.888888889
C3,S5,RF,Class_Weight,0.943611111,0.111854593,0.9,0.207019668,0.942432796,0.105752344,0.911111111
C3,S5,DT,SMOTE,0.958194444,0.104435566,0.933333333,0.175932888,0.950143369,0.112710769,0.9
C3,S5,RF,SMOTE,0.939166667,0.116022349,0.9,0.207019668,0.930057317,0.116520234,0.877777778
C_Full,S1,DT,None,0.941388889,0.154465738,0.9,0.280305955,0.934551971,0.150533721,0.888888889
C_Full,S1,RF,None,0.926805556,0.161847872,0.866666667,0.29680842,0.930172695,0.153047937,0.911111111
C_Full,S1,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C_Full,S1,DT,Class_Weight,0.941388889,0.154465738,0.9,0.280305955,0.934551971,0.150533721,0.888888889
C_Full,S1,RF,Class_Weight,0.926805556,0.161847872,0.866666667,0.29680842,0.930172695,0.153047937,0.911111111
C_Full,S1,DT,SMOTE,0.960277778,0.092991197,0.933333333,0.175932888,0.95344086,0.087891023,0.922222222
C_Full,S1,RF,SMOTE,0.945694444,0.107576531,0.9,0.207019668,0.949061584,0.093087906,0.944444444
C_Full,S2,DT,None,0.941388889,0.154465738,0.9,0.280305955,0.934551971,0.150533721,0.888888889
C_Full,S2,RF,None,0.925694444,0.124432408,0.855555556,0.250924218,0.937014093,0.097455313,0.977777778
C_Full,S2,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C_Full,S2,DT,Class_Weight,0.941388889,0.154465738,0.9,0.280305955,0.934551971,0.150533721,0.888888889
C_Full,S2,RF,Class_Weight,0.901111111,0.169788228,0.811111111,0.31412935,0.915801971,0.159073035,0.933333333
C_Full,S2,DT,SMOTE,0.960277778,0.092991197,0.933333333,0.175932888,0.95344086,0.087891023,0.922222222
C_Full,S2,RF,SMOTE,0.964444444,0.094042093,0.933333333,0.175932888,0.968924731,0.084179638,0.966666667
C_Full,S3,DT,None,0.939166667,0.15762333,0.9,0.280305955,0.927849462,0.158176053,0.855555556
C_Full,S3,RF,None,0.920138889,0.148345009,0.844444444,0.298585732,0.92479187,0.144129566,0.911111111
C_Full,S3,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C_Full,S3,DT,Class_Weight,0.939166667,0.15762333,0.9,0.280305955,0.927849462,0.158176053,0.855555556
C_Full,S3,RF,Class_Weight,0.920138889,0.148345009,0.844444444,0.298585732,0.92479187,0.144129566,0.911111111
C_Full,S3,DT,SMOTE,0.939166667,0.15762333,0.9,0.280305955,0.927849462,0.158176053,0.855555556
C_Full,S3,RF,SMOTE,0.947916667,0.102743251,0.9,0.207019668,0.955764093,0.077468937,0.977777778
C_Full,S4,DT,None,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C_Full,S4,RF,None,0.9325,0.114108323,0.877777778,0.213313491,0.93469086,0.105487391,0.911111111
C_Full,S4,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C_Full,S4,DT,Class_Weight,0.924722222,0.164466253,0.866666667,0.29680842,0.923543907,0.160229719,0.877777778
C_Full,S4,RF,Class_Weight,0.934722222,0.109849923,0.877777778,0.213313491,0.941393369,0.093113197,0.944444444
C_Full,S4,DT,SMOTE,0.937222222,0.153612394,0.9,0.280305955,0.921218638,0.153157188,0.855555556
C_Full,S4,RF,SMOTE,0.958055556,0.099405683,0.933333333,0.175932888,0.948881473,0.101734769,0.911111111
C_Full,S5,DT,None,0.941388889,0.154465738,0.9,0.280305955,0.934551971,0.150533721,0.888888889
C_Full,S5,RF,None,0.960277778,0.092991197,0.933333333,0.175932888,0.95344086,0.087891023,0.922222222
C_Full,S5,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C_Full,S5,DT,Class_Weight,0.941388889,0.154465738,0.9,0.280305955,0.934551971,0.150533721,0.888888889
C_Full,S5,RF,Class_Weight,0.9625,0.086956218,0.933333333,0.175932888,0.960143369,0.070696622,0.955555556
C_Full,S5,DT,SMOTE,0.974861111,0.080296089,0.966666667,0.129099445,0.961216166,0.094884244,0.911111111
C_Full,S5,RF,SMOTE,0.945694444,0.107576531,0.9,0.207019668,0.949061584,0.093087906,0.944444444
