Kelas,num_students,kompeten_count,mean_attendance,mean_tp,mean_respon,mean_laporan,prop_kompeten
A,32,22,0.853125,70.21354166666667,63.3359375,68.25,0.6875
C,32,15,0.7859375,74.6640625,63.8203125,71.72410714285714,0.46875
