Cutoff,Threshold,CV_Recall_BK,CV_Balanced_Acc,Test_Recall_BK,Test_Specificity,Test_Balanced_Acc,Test_TP,Test_FN,Test_FP,Test_TN
W1,0.26,0.7235714285714286,0.6960714285714286,0.8888888888888888,0.0,0.4444444444444444,8,1,9,0
W2,0.2,0.7357142857142857,0.6164285714285714,1.0,0.5555555555555556,0.7777777777777778,9,0,4,5
W3,0.24,0.7828571428571428,0.6514285714285714,1.0,0.5555555555555556,0.7777777777777778,9,0,4,5
C_Full,0.52,0.7914285714285715,0.65,0.8888888888888888,0.6666666666666666,0.7777777777777777,8,1,3,6
