experiment,model,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_specificity_mean,cv_specificity_std,cv_specificity_ci_lower,cv_specificity_ci_upper,test_accuracy,test_precision,test_recall,test_f1,test_specificity
Train AC -> Test BDE,DecisionTree,0.6254545454545455,0.17499940968023223,0.5517287764471601,0.6991803144619309,0.4854285714285714,0.28078874976655466,0.36713464950627395,0.6037224933508688,0.4833333333333333,0.26770630673681683,0.37055093384774085,0.5961157328189257,0.459015873015873,0.23357214920629837,0.3606139049726214,0.5574178410591245,0.4833333333333333,0.26770630673681683,0.37055093384774085,0.5961157328189257,0.47692307692307695,0.25,0.03125,0.05555555555555555,0.03125
Train BDE -> Test AC,DecisionTree,0.5876923076923076,0.12284593709339772,0.5359383549321647,0.6394462604524506,0.5865396825396825,0.12735377349367732,0.5328866164866584,0.6401927485927066,0.6161904761904763,0.19579710911172296,0.5337028125745726,0.6986781398063799,0.5848975468975469,0.13841882181153078,0.5265828697120724,0.6432122240830215,0.6161904761904763,0.19579710911172296,0.5337028125745726,0.6986781398063799,0.6545454545454545,0.5,0.3157894736842105,0.3870967741935484,0.3157894736842105
Train AC -> Test BDE,RandomForest,0.68,0.15019546493137007,0.616723922819393,0.7432760771806071,0.6001904761904762,0.278905310698095,0.48269003119449794,0.7176909211864544,0.5233333333333333,0.2500222212346557,0.4180010892809592,0.6286655773857075,0.5244242424242423,0.20422399605630775,0.4383864027165276,0.6104620821319571,0.5233333333333333,0.2500222212346557,0.4180010892809592,0.6286655773857075,0.6153846153846154,0.5636363636363636,0.96875,0.7126436781609196,0.96875
Train BDE -> Test AC,RandomForest,0.6553846153846153,0.14934967507091196,0.5924648623081574,0.7183043684610733,0.6433333333333333,0.17115487410443564,0.5712272345998064,0.7154394320668602,0.6457142857142857,0.2252053736425051,0.5508371693472769,0.7405914020812945,0.6324734154734155,0.19250120979792004,0.5513742863212854,0.7135725446255456,0.6457142857142857,0.2252053736425051,0.5508371693472769,0.7405914020812945,0.6727272727272727,1.0,0.05263157894736842,0.1,0.05263157894736842
