cutoff,model,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_specificity_mean,cv_specificity_std,cv_specificity_ci_lower,cv_specificity_ci_upper,test_accuracy,test_precision,test_recall,test_f1,test_specificity
M3,DecisionTree,0.5608421052631578,0.10571565898208563,0.5163049935733623,0.6053792169529533,0.4952207792207792,0.10892356298014964,0.4493322047483876,0.5411093536931708,0.5822222222222222,0.16891629894531407,0.5110592162419145,0.6533852282025299,0.5247819708895224,0.11993598890043843,0.4742539546550489,0.575309987123996,0.5822222222222222,0.16891629894531407,0.5110592162419145,0.6533852282025299,0.6666666666666666,0.6,0.6,0.6,0.6
M3,RandomForest,0.6643157894736842,0.09336753099913987,0.6249808395112213,0.7036507394361471,0.6008054168054169,0.11804600058604875,0.551073636639099,0.6505371969717347,0.6594444444444446,0.18002571832729697,0.5836011341782034,0.7352877547106859,0.6182967414422522,0.12886059925568968,0.5640088624589017,0.6725846204256027,0.6594444444444446,0.18002571832729697,0.5836011341782034,0.7352877547106859,0.6666666666666666,0.5833333333333334,0.7,0.6363636363636364,0.7
M5,DecisionTree,0.6522105263157895,0.08596423916671667,0.615994520494503,0.6884265321370759,0.5637324897324897,0.0698535998335416,0.5343037598009295,0.5931612196640499,0.8488888888888888,0.1370613091617609,0.7911461202842741,0.9066316574935035,0.6739948285811793,0.08225441785671432,0.6393417390546374,0.7086479181077212,0.8488888888888888,0.1370613091617609,0.7911461202842741,0.9066316574935035,0.5,0.4375,0.7,0.5384615384615384,0.7
M5,RandomForest,0.6608421052631579,0.10230127685682812,0.6177434438420214,0.7039407666842944,0.5916642246642246,0.09710385173443352,0.5507551944235991,0.6325732549048502,0.7233333333333333,0.14449358138591623,0.6624594113939769,0.7842072552726896,0.6444662798202978,0.09877254909613609,0.6028542415154913,0.6860783181251043,0.7233333333333333,0.14449358138591623,0.6624594113939769,0.7842072552726896,0.625,0.5384615384615384,0.7,0.6086956521739131,0.7
M7,DecisionTree,0.6258947368421053,0.1126824282658534,0.5784225842634215,0.673366889420789,0.56802553002553,0.12056897118418132,0.5172308437164416,0.6188202163346185,0.6399999999999999,0.18362434815287407,0.5626406174695815,0.7173593825304183,0.5869675840379838,0.1295110315749849,0.5324056834278464,0.6415294846481211,0.6399999999999999,0.18362434815287407,0.5626406174695815,0.7173593825304183,0.5416666666666666,0.45454545454545453,0.5,0.47619047619047616,0.5
M7,RandomForest,0.6822105263157896,0.10606870715304827,0.6375246784219782,0.726896374209601,0.6241904761904762,0.12206764925941592,0.5727644095024877,0.6756165428784646,0.7233333333333333,0.14103453740393077,0.6639166773245777,0.7827499893420888,0.6611016982897451,0.1039268297291084,0.617318205212376,0.7048851913671141,0.7233333333333333,0.14103453740393077,0.6639166773245777,0.7827499893420888,0.5833333333333334,0.5,0.5,0.5,0.5
PreFinal,DecisionTree,0.6237894736842106,0.09375952029223146,0.5842893819528203,0.6632895654156008,0.5564273504273504,0.09023029814266728,0.5184140900941343,0.5944406107605664,0.6555555555555554,0.16173251808899597,0.5874190156015067,0.7236920955096042,0.5932220973265528,0.10512084004896262,0.5489355778150098,0.6375086168380959,0.6555555555555554,0.16173251808899597,0.5874190156015067,0.7236920955096042,0.5416666666666666,0.45454545454545453,0.5,0.47619047619047616,0.5
PreFinal,RandomForest,0.6721052631578948,0.11436685880687551,0.6239234742598468,0.7202870520559427,0.6252980352980352,0.12961333866668012,0.5706930335767346,0.6799030370193357,0.6811111111111111,0.14161110021359097,0.6214515540742839,0.7407706681479383,0.6407455090489147,0.10718050542925536,0.5955912699585603,0.6858997481392691,0.6811111111111111,0.14161110021359097,0.6214515540742839,0.7407706681479383,0.6666666666666666,0.625,0.5,0.5555555555555556,0.5
