population,scenario,model,feature_selection,best_threshold,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_lower,cv_balanced_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_lower,cv_roc_auc_ci_upper,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_recall_belum_kompeten,best_params
P2,S5,DecisionTree,False,0.6,0.5435789473684212,0.12340748438492727,0.4915884194908097,0.5955694752460327,0.5433585858585859,0.12025767428172993,0.4926950462977338,0.594022125419438,0.5467566877566877,0.12406724307494277,0.49448820913130187,0.5990251663820736,0.5433585858585859,0.12025767428172993,0.4926950462977338,0.594022125419438,0.5274931178556566,0.1248738501915424,0.4748848224842211,0.580101413227092,0.5574810606060606,0.11492623372757955,0.5090636117919723,0.6058985094201489,0.6,0.6333333333333333,0.6388888888888888,0.6333333333333333,0.5993589743589745,0.7066666666666668,0.8,"{""model__min_samples_split"": 2, ""model__min_samples_leaf"": 5, ""model__max_features"": ""log2"", ""model__max_depth"": 5, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced"", ""model__ccp_alpha"": 0.015}"
P2,S5,RandomForest,False,0.5,0.6853684210526316,0.10611779374631047,0.6406618933928552,0.7300749487124081,0.6758080808080809,0.10471140393709807,0.6316940532624351,0.7199221083537266,0.6901708846708847,0.11532295030435984,0.6415863025232924,0.738755466818477,0.6758080808080809,0.10471140393709807,0.6316940532624351,0.7199221083537266,0.6720337800874886,0.1085989663914064,0.6262819554085163,0.7177856047664609,0.7282449494949494,0.0957514905180857,0.6879056575799171,0.7685842414099818,0.6,0.6,0.5961538461538461,0.6,0.5941558441558441,0.74,0.6,"{""model__n_estimators"": 800, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 4, ""model__max_features"": 1.0, ""model__max_depth"": 4, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}"
P2,S6,DecisionTree,False,0.5,0.6701052631578948,0.11109846896377189,0.6233004192166272,0.7169101070991624,0.6783080808080807,0.11379969743192823,0.6303652321932924,0.726250929422869,0.6668933011433014,0.1480317768140486,0.6045287674395161,0.7292578348470866,0.6783080808080807,0.11379969743192823,0.6303652321932924,0.726250929422869,0.648162871543861,0.13986686232146905,0.5892381471568323,0.7070875959308897,0.7049873737373739,0.1013136419327596,0.6623047945442206,0.7476699529305271,0.6,0.6166666666666667,0.6136363636363636,0.6166666666666667,0.5993589743589745,0.5633333333333332,0.7,"{""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 2, ""model__criterion"": ""log_loss"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.02}"
P2,S6,RandomForest,False,0.5,0.679578947368421,0.1060765416431956,0.6348897988702706,0.7242680958665713,0.6717929292929292,0.09985087978611822,0.6297265994021769,0.7138592591836815,0.686033078033078,0.10647450940273338,0.6411762690887258,0.7308898869774302,0.6717929292929292,0.09985087978611822,0.6297265994021769,0.7138592591836815,0.6661194153582767,0.10737891335404481,0.6208815886897756,0.7113572420267777,0.7130555555555554,0.10364529300979083,0.6693906715133451,0.7567204395977658,0.6,0.6,0.5961538461538461,0.6,0.5941558441558441,0.72,0.6,"{""model__n_estimators"": 800, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 3, ""model__max_features"": 0.7, ""model__max_depth"": 6, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced_subsample""}"
P2,S5,DecisionTree,True,0.45,0.6144210526315789,0.10203774218898089,0.5714334161337986,0.6574086891293591,0.6190656565656565,0.10335427007304737,0.5755233780216555,0.6626079351096574,0.6217893772893772,0.10789474981263077,0.576334233090144,0.6672445214886105,0.6190656565656565,0.10335427007304737,0.5755233780216555,0.6626079351096574,0.6066535558263246,0.10662364376958693,0.5617339178364242,0.651573193816225,0.6653535353535354,0.11007039693197335,0.6189818094512248,0.7117252612558459,0.72,0.7166666666666666,0.711038961038961,0.7166666666666666,0.7126436781609196,0.6733333333333333,0.7,"{""selector__k"": ""all"", ""selector__importance_type"": ""gini"", ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 8, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced"", ""model__ccp_alpha"": 0.01}"
P2,S5,RandomForest,True,0.5,0.6854736842105262,0.10278698086286535,0.6421703998056866,0.7287769686153659,0.6780050505050503,0.10061974446512433,0.6356148044375183,0.7203952965725824,0.6897144522144523,0.10902701503304452,0.6437822942684421,0.7356466101604624,0.6780050505050503,0.10061974446512433,0.6356148044375183,0.7203952965725824,0.6738692777287473,0.10458795495107918,0.629807258195266,0.7179312972622286,0.7303282828282828,0.0930201593110945,0.6911396776156641,0.7695168880409015,0.64,0.6499999999999999,0.6442307692307692,0.6499999999999999,0.6376811594202898,0.74,0.7,"{""selector__k"": ""all"", ""selector__importance_type"": ""permutation"", ""model__n_estimators"": 800, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 5, ""model__max_features"": 0.5, ""model__max_depth"": 4, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}"
P2,S6,DecisionTree,True,0.4,0.6215789473684211,0.1176948493449347,0.5719951042456415,0.6711627904912008,0.623989898989899,0.11750160371164596,0.5744874686155828,0.6734923293642152,0.6302004107004108,0.12190387699322967,0.5788433398809726,0.681557481519849,0.623989898989899,0.11750160371164596,0.5744874686155828,0.6734923293642152,0.6085242204612914,0.12374445479522349,0.5563917298040499,0.6606567111185329,0.640385101010101,0.11914914506787737,0.5901885754175119,0.6905816266026902,0.6,0.6166666666666667,0.6136363636363636,0.6166666666666667,0.5993589743589745,0.62,0.7,"{""selector__k"": 12, ""selector__importance_type"": ""permutation"", ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 5, ""model__max_features"": null, ""model__max_depth"": 2, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced"", ""model__ccp_alpha"": 0.01}"
P2,S6,RandomForest,True,0.5,0.6790526315789474,0.11082286032760179,0.6323638992216208,0.7257413639362739,0.6769696969696969,0.1064193547883275,0.6321361241972198,0.721803269742174,0.6838304473304473,0.10962872421560416,0.6376447944024594,0.7300161002584352,0.6769696969696969,0.1064193547883275,0.6321361241972198,0.721803269742174,0.6698712856369339,0.11270293702453509,0.622390492891932,0.7173520783819357,0.7139646464646464,0.10501266042047921,0.6697237021142736,0.7582055908150193,0.64,0.6499999999999999,0.6442307692307692,0.6499999999999999,0.6376811594202898,0.7133333333333334,0.7,"{""selector__k"": ""all"", ""selector__importance_type"": ""permutation"", ""model__n_estimators"": 500, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 3, ""model__max_features"": 1.0, ""model__max_depth"": null, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced""}"
