population,scenario,model,feature_selection,best_threshold,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_lower,cv_balanced_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_lower,cv_roc_auc_ci_upper,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_recall_belum_kompeten,best_params,cutoff,cv_accuracy,cv_balanced_accuracy
P2,S6,DecisionTree,True,0.6,0.7058947368421054,0.1009244801449122,0.6633761082138698,0.7484133654703409,0.6075833333333334,0.13941953075360553,0.54884706594683,0.6663196007198368,0.591786785196228,0.12901523360758224,0.5374337600702186,0.6461398103222373,0.6075833333333334,0.13941953075360553,0.54884706594683,0.6663196007198368,0.5806750759001299,0.12199284263853656,0.5292805246078862,0.6320696271923736,0.6384375,0.19610492027724458,0.5558201581473033,0.7210548418526966,0.72,0.75,0.6666666666666667,0.75,0.6666666666666667,0.7849999999999999,0.8,"{""selector__k"": 8, ""selector__importance_type"": ""permutation"", ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": 5, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.005}",C3,0.7059 ± 0.1009,0.6076 ± 0.1394
P2,S6,RandomForest,True,0.4,0.7528421052631579,0.09458443881782032,0.7129944823442133,0.7926897281821025,0.6418333333333333,0.12154520192550224,0.5906273692818567,0.6930392973848098,0.6333429186053025,0.134272794214574,0.5767749277284847,0.6899109094821202,0.6418333333333333,0.12154520192550224,0.5906273692818567,0.6930392973848098,0.6251147067028274,0.12453357449818117,0.5726497665987806,0.6775796468068742,0.675875,0.16001510345380943,0.6084619922848029,0.7432880077151971,0.88,0.8500000000000001,0.8070175438596491,0.8500000000000001,0.8251748251748252,0.84,0.8,"{""selector__k"": 12, ""selector__importance_type"": ""permutation"", ""model__n_estimators"": 200, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 3, ""model__max_features"": 1.0, ""model__max_depth"": 5, ""model__criterion"": ""gini"", ""model__class_weight"": null}",C3,0.7528 ± 0.0946,0.6418 ± 0.1215
P2,S6,DecisionTree,False,0.7,0.7363157894736843,0.1067993173331435,0.6913221416994586,0.7813094372479099,0.6347499999999999,0.15316081780635382,0.5702246447704789,0.699275355229521,0.6235161292955411,0.1546615313973984,0.5583585361415506,0.6886737224495316,0.6347499999999999,0.15316081780635382,0.5702246447704789,0.699275355229521,0.6119637640538315,0.14241171499654848,0.5519669147903614,0.6719606133173015,0.6533958333333334,0.16668561871412635,0.5831725940399786,0.7236190726266882,0.68,0.7250000000000001,0.6461038961038961,0.7250000000000001,0.6323529411764706,0.69,0.8,"{""model__min_samples_split"": 2, ""model__min_samples_leaf"": 5, ""model__max_features"": null, ""model__max_depth"": 10, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.005}",C4,0.7363 ± 0.1068,0.6347 ± 0.1532
P2,S6,RandomForest,False,0.5,0.7521052631578946,0.09327230559865961,0.7128104308500699,0.7914000954657193,0.6524166666666666,0.1432117701556374,0.5920827609413495,0.7127505723919838,0.6382136733235805,0.15185705969952265,0.5742375803412942,0.7021897663058667,0.6524166666666666,0.1432117701556374,0.5920827609413495,0.7127505723919838,0.6297362664889329,0.13568764682062864,0.5725722101933569,0.6869003227845089,0.64425,0.1635978194468917,0.5753276243834615,0.7131723756165385,0.8,0.725,0.6973684210526316,0.725,0.7086247086247086,0.88,0.6,"{""model__n_estimators"": 200, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 5, ""model__max_features"": ""sqrt"", ""model__max_depth"": 5, ""model__criterion"": ""gini"", ""model__class_weight"": null}",C4,0.7521 ± 0.0933,0.6524 ± 0.1432
P2,S6,DecisionTree,True,0.55,0.6896842105263158,0.09969460291518047,0.6476837187575835,0.7316847022950481,0.5889166666666666,0.10946321046106973,0.5428007432815192,0.6350325900518141,0.5691480970010382,0.10974578123449144,0.5229131289424966,0.6153830650595797,0.5889166666666666,0.10946321046106973,0.5428007432815192,0.6350325900518141,0.5631154085069546,0.10827581684434937,0.517499723994996,0.6087310930189133,0.6195833333333333,0.1364743947290724,0.562087826807891,0.6770788398587755,0.68,0.7250000000000001,0.6461038961038961,0.7250000000000001,0.6323529411764706,0.765,0.8,"{""selector__k"": ""all"", ""selector__importance_type"": ""permutation"", ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": ""log2"", ""model__max_depth"": 9, ""model__criterion"": ""entropy"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.02}",C4,0.6897 ± 0.0997,0.5889 ± 0.1095
P2,S6,RandomForest,True,0.5,0.758421052631579,0.08314456921881139,0.7233929498760011,0.7934491553871569,0.6396666666666667,0.13202414551891636,0.5840460124386854,0.6952873208946481,0.6264491177037617,0.15074932569992502,0.5629397036727084,0.6899585317348149,0.6396666666666667,0.13202414551891636,0.5840460124386854,0.6952873208946481,0.6193765309642919,0.13112925199366762,0.564132887798515,0.6746201741300688,0.6379166666666667,0.15990801392258822,0.5705487748638968,0.7052845584694366,0.84,0.75,0.75,0.75,0.75,0.84,0.6,"{""selector__k"": 20, ""selector__importance_type"": ""permutation"", ""model__n_estimators"": 500, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 3, ""model__max_features"": ""sqrt"", ""model__max_depth"": 8, ""model__criterion"": ""entropy"", ""model__class_weight"": null}",C4,0.7584 ± 0.0831,0.6397 ± 0.1320
P2,S6,DecisionTree,False,0.35,0.7305263157894737,0.09417082374239555,0.6908529453983774,0.77019968618057,0.6,0.13096861371251425,0.5448240323814245,0.6551759676185754,0.6002638619550384,0.1504768415267949,0.5368692431981126,0.6636584807119643,0.6,0.13096861371251425,0.5448240323814245,0.6551759676185754,0.588485505025484,0.1300284390117831,0.5337056250448003,0.6432653850061677,0.5647708333333333,0.13883325205079652,0.506281560198389,0.6232601064682777,0.72,0.6000000000000001,0.587719298245614,0.6000000000000001,0.592074592074592,0.665,0.4,"{""model__min_samples_split"": 2, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 8, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.01}",C_Full,0.7305 ± 0.0942,0.6000 ± 0.1310
P2,S6,RandomForest,False,0.5,0.7527368421052629,0.1104623373726961,0.7061999950151142,0.7992736891954116,0.63725,0.15726428569626213,0.5709958885059098,0.7035041114940902,0.6386686905285976,0.1779571941925452,0.5636968319593854,0.7136405490978099,0.63725,0.15726428569626213,0.5709958885059098,0.7035041114940902,0.6202974805165802,0.15207124867472596,0.5562311515332776,0.6843638094998827,0.6561666666666668,0.15346374662368237,0.5915136900922917,0.7208196432410419,0.84,0.75,0.75,0.75,0.75,0.91,0.6,"{""model__n_estimators"": 200, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 6, ""model__criterion"": ""gini"", ""model__class_weight"": null}",C_Full,0.7527 ± 0.1105,0.6372 ± 0.1573
P2,S6,DecisionTree,True,0.6,0.7328421052631579,0.11442042318134132,0.6846377501478518,0.7810464603784639,0.6158333333333332,0.143911141565435,0.5552047883569275,0.6764618783097389,0.6256515752049807,0.1422151621324019,0.5657375319983213,0.6855656184116401,0.6158333333333332,0.143911141565435,0.5552047883569275,0.6764618783097389,0.6044704902123111,0.1340694413638233,0.5479881701690626,0.6609528102555596,0.6192291666666666,0.1625188904618305,0.5507613346927229,0.6876969986406103,0.8,0.8,0.7205882352941176,0.8,0.7401247401247402,0.79,0.8,"{""selector__k"": ""all"", ""selector__importance_type"": ""permutation"", ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 5, ""model__max_features"": ""sqrt"", ""model__max_depth"": 10, ""model__criterion"": ""log_loss"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.0}",C_Full,0.7328 ± 0.1144,0.6158 ± 0.1439
P2,S6,RandomForest,True,0.5,0.7650526315789473,0.11038216163243135,0.7185495618490626,0.811555701308832,0.6395000000000001,0.15993323259688363,0.5721214837833583,0.7068785162166419,0.6483619531483308,0.18141519427394345,0.571933268434993,0.7247906378616685,0.6395000000000001,0.15993323259688363,0.5721214837833583,0.7068785162166419,0.627385234983923,0.15444439238925486,0.562319120654839,0.6924513493130069,0.6544166666666666,0.15225825556891454,0.5902715532628399,0.7185617800704934,0.88,0.8500000000000001,0.8070175438596491,0.8500000000000001,0.8251748251748252,0.9,0.8,"{""selector__k"": 25, ""selector__importance_type"": ""permutation"", ""model__n_estimators"": 200, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 3, ""model__max_features"": ""log2"", ""model__max_depth"": 8, ""model__criterion"": ""log_loss"", ""model__class_weight"": null}",C_Full,0.7651 ± 0.1104,0.6395 ± 0.1599
