Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean
0.0009473509128341179,-0.051464456660273654,0.01872228311864067,-0.3275186731537694
-0.019013285569762714,0.06689786489369318,0.1177410227263421,0.18210635671261488
-0.007109871717315016,-0.09789453810323033,-0.04862847783803128,-0.27030182024520316
0.012115843832449694,0.12604326471557617,0.16700010664364154,0.05757274357122001
0.026048509860777936,0.003129972863817209,0.028116402036158204,0.18769934521045725
0.025837790646767285,0.1080614517036443,-0.03064839260012772,-0.0262522243207304
-0.04170011586764005,0.07114294603124668,0.03465916911658641,-0.05637004051730652
0.029126664237170894,0.044641715867349614,0.0830681131629423,0.24179114788321213
-0.029941978582889134,0.05742354067878102,-0.02606001488205995,0.13381041154905482
0.003193857843424722,-0.027874955598260764,-0.036320830855624604,-0.25997823383877416
-0.13874390686949048,-0.03474827805203268,0.01674621003473604,0.199356432928173
0.01702371959117443,-0.11384540009924927,-0.03785496987098653,-0.10515871257142621
0.0038814861206457247,-0.032782736741967744,0.030542799902948545,-0.31307625718540705
0.028069671116028237,-0.08245509695384454,-0.09051289176783392,-0.0948697236314627
0.006248267254910523,0.02291330594062429,-0.07579904616122925,-0.14063056827141848
-0.02920064856817865,0.05569473961341657,0.04135671761397835,0.12488115010367042
0.01207004641865659,0.12611959373856466,0.16707643566663005,0.057465882939036095
0.020348582825843013,0.069751390352446,0.11377451962957941,0.16056861883722445
0.0011430563842277771,-0.0698878053843921,-0.0010849942364720019,-0.3444837525459323
-0.005631455822870543,0.13702552607262666,0.13237340411640353,0.15396448439672833
0.0005082098472369128,-0.07752650013340999,-0.08773952104768531,-0.24751022990325444
0.013573956968211166,-0.17589985161889427,-0.15900280833506417,0.10952508606700574
-0.03978362439846466,0.019295227666095885,-0.08218515510186884,0.19540551059712466
0.0034158979573137667,0.1378303520682122,0.13960822901899433,0.17687747971836792
0.012440408314828252,-0.10600132574751302,-0.06923809869713096,0.05624526060698823
