Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility
-0.05726992783434273,-0.0393231157802836,-0.04027576037118729,0.10601925799295965,-0.008052599567930254,-0.007535912245029087,0.01266349681002649,0.05830392515314415
-0.021838563792435692,-0.0694423956856228,-0.06205770372683127,-0.1636781866052737,-0.011961414519927318,-0.012462727976768643,-0.004235615561913533,-0.04480739742098669
-0.04512108859401388,0.030263512065610707,0.036788569397119456,0.05990141078147737,0.013481652940908041,0.006093117030650535,-0.015781207251240013,-0.024830742003141098
-0.019034925483815322,-0.062106408765678314,-0.04129938765152218,-0.15793651587892113,-0.010931438396149771,-0.010978573811131601,-0.003954157086893,-0.009202907134246796
-0.020232139630560978,-0.07077371219557604,-0.0820915517349822,0.06126149674615273,-0.009828864195474213,-0.01287903072490705,-0.03951742009951208,-0.02868490998633056
-0.02344219364682117,-0.058568460676434675,0.02092849209726067,-0.17277661003141695,-0.009205645546249521,0.0032835999627936745,-0.005114131583746614,0.04126284936396337
0.03733262888636213,0.12319317232618951,0.12624665180006736,0.060460271488055425,0.045098700197233825,0.06699468238768677,0.003160232303974844,0.02287711725438259
-0.020255714940763475,-0.031116975773977575,-0.06555588462813512,-0.15793453025838886,-0.011452344560363047,-0.01188607068717134,-0.004068349401354809,-0.03400281840621381
0.036955349885177555,0.12328005121995841,0.12679198897469973,0.0606011271452795,0.045154033642379514,0.06712402729587924,0.0006938174687103937,0.024757015859722606
-0.013159144803259044,-0.03963144466283722,-0.05488683900340282,0.09263609124585884,-0.009265734705009075,-0.008433994452730458,-0.006043800736384759,0.050581985155695855
0.057026032403337736,0.12379174999193754,0.1250425160662216,0.06101602656128087,0.04239515272946292,0.06520782987863855,0.0031026636579336727,0.020813543706065817
0.03733262888636213,0.12319317232618951,0.12624665180006736,0.060460271488055425,0.045098700197233825,0.06699468238768677,0.003160232303974844,0.02287711725438259
0.0673690248352422,0.006402659673535355,0.12253592891530975,0.07743888036304682,-0.007224684075261026,-0.01020747692537003,-0.003467319959128237,0.03206625725157332
-0.013961400660728544,-0.05824425651986622,-0.07398519865948669,0.10565585377207745,-0.009553725534638458,-0.009917753426324786,-0.034097669758510404,0.043881039055496146
0.0031653635527456683,0.15139047349833046,0.09440664928350705,0.11129602109704399,-0.0035377603081212777,0.00014340580307645678,0.012535296921641324,0.04458754182445804
-0.009415910297044573,-0.059783278931378026,-0.03974518920278366,0.11744255631426703,-0.0023701048015772595,-0.031023137753765577,0.006438222118790242,0.04649884108916969
0.04088970670738878,-0.047692054956394274,-0.04927583044355582,-0.04620248509031923,-0.01055015661904875,-0.0053393196973761025,-0.006395018682343233,-0.024884733223347374
0.03737988427821895,0.120099014985463,0.126089986069109,0.06720780598085105,0.045243952949821774,0.06444352633765785,-0.0014362321761768834,0.02454369448900441
-0.020722213003422824,-0.06326744933085415,-0.08647141464605737,0.06305743957851022,-0.010531725036316148,-0.01296444935949208,-0.050071735844880484,-0.03931898720940367
-0.036137525194834104,-0.0654681674747687,0.020918327073546763,-0.16251545388110927,-0.008739220714158391,0.0031199579514659464,-0.005082063314062924,0.043667038341607574
0.04497674386161931,1.2284254093084131e-05,-0.011427728198659844,0.0525444626156763,-0.002796615327039117,-0.021295244201706042,-0.005077533011868592,-0.022829348643876597
-0.0036520949195532537,-0.06568783237497709,-0.05708708346660835,-0.030163477097241338,-0.008911361061142082,-0.03430114033091069,0.0012542782804867477,0.04131495756460383
0.003782247410210149,0.15128939815478026,0.10015261532502288,0.10999032760588139,-0.003450610624997197,0.000502669024156587,0.01291986122387111,0.04494361332474877
0.03733262888636213,0.12319317232618951,0.12624665180006736,0.060460271488055425,0.045098700197233825,0.06699468238768677,0.003160232303974844,0.02287711725438259
-0.006152292533596909,-0.007184895532157037,-0.026897329124127206,0.11178131448583226,-0.006446034699177646,-0.004521811236983111,0.016341942304964635,0.08702877306422825
-0.04752947974839517,-0.07032166467570722,-0.06712061686476413,-0.0436201089259015,-0.010027366841359981,-0.037869535310886375,-0.0011746484479285657,0.029854687752665157
0.057026032403337736,0.12379174999193754,0.1250425160662216,0.06101602656128087,0.04239515272946292,0.06520782987863855,0.0031026636579336727,0.020813543706065817
-0.01116318622478561,-0.05203434132804554,-0.060704791867243375,-0.009387941654741024,-0.010794490419161216,-0.010094011609970517,0.0042510200296390225,-0.042404488886456496
0.069290493545718,0.03363289007291689,0.04615327674830085,0.06728406710956833,0.013567542588102213,0.011674401671475078,-0.012361101524184731,-0.01700686372902886
0.04802147058136495,0.008641309282883172,-0.00319217804831245,0.06520801948119061,-0.002713002279232845,-0.021332960622278987,-0.00538509015409399,-0.02261013611480551
0.04529268822924681,0.019678966875161973,0.04298431176112249,0.06761534401773721,-0.007159892868324929,0.008551075367040998,-0.0031323775417110337,0.04697655895049773
0.05550160900550136,0.03282011984952825,-0.015252601062259112,0.07334225029028317,0.0035529734062310805,-0.01844307261949145,0.006079516275366863,0.037972309135087055
