Attendance_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Respons_TP_Gap
-0.5029433922525313,0.04652879578195467,-0.014758185483810481,-0.028827218045612887,0.0,0.0,0.0,0.0
-0.024388479130585006,0.10066772010705655,-0.4303612724039714,-0.14591796857250014,0.0,0.0,0.0,0.0
0.09293388799252056,0.2661006917375802,0.09971486954453286,0.041250550725366125,0.0,0.0,0.0,0.0
-0.024388479130585006,0.10066772010705655,-0.4303612724039714,-0.14591796857250014,0.0,0.0,0.0,0.0
0.0007509080141846203,-0.1406428889431353,-0.08904266233632781,-0.27106535673472143,0.0,0.0,0.0,0.0
0.08201982716703643,0.07813716692745376,0.3131952993961768,0.026647706509333347,0.0,0.0,0.0,0.0
0.0934728483941552,0.32632972171543234,0.14838685158439113,-0.06818942169397867,0.0,0.0,0.0,0.0
-0.024388479130585006,0.10066772010705655,-0.4303612724039714,-0.14591796857250014,0.0,0.0,0.0,0.0
-0.024388479130585006,0.10066772010705655,-0.4303612724039714,-0.14591796857250014,0.0,0.0,0.0,0.0
0.10392872980091733,0.3353241875668852,0.053198491257972005,0.0075485913742254825,0.0,0.0,0.0,0.0
-0.5029433922525313,0.04652879578195467,-0.014758185483810481,-0.028827218045612887,0.0,0.0,0.0,0.0
0.09293388799252056,0.2661006917375802,0.09971486954453286,0.041250550725366125,0.0,0.0,0.0,0.0
-0.5029433922525313,0.04652879578195467,-0.014758185483810481,-0.028827218045612887,0.0,0.0,0.0,0.0
