Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,TP_Std,Respons_Std,Laporan_Std,TP_Min,TP_Max,Respons_Min,Respons_Max,Laporan_Min,Laporan_Max,TP_Trend,Respons_Trend,Laporan_Trend,TP_Last2_Mean,Respons_Last2_Mean,Laporan_Last2_Mean,TP_LateEarly_Gap,Respons_LateEarly_Gap,Laporan_LateEarly_Gap,Activity_Score
0.04192541738180693,-0.1618225774410027,0.0,0.014531641219840373,0.0,0.018278693662635813,0.0,0.0,0.020453293357282576,-0.279669872942935,0.0,0.0,0.0,0.0,0.0,0.0,0.032101057156662546,0.0,-0.011224233283056837,0.0,0.0,0.0,0.0,0.009100050276520893,0.0,0.0,0.0
-8.587235109422907e-05,-0.1846016651325275,0.0,-0.12266786928606713,0.0,-0.00048429494605560335,0.0,0.0,-0.00800653594771243,0.02728772760189227,0.0,0.0,0.0,0.0,0.0,0.0,-0.2626364059424336,0.0,0.022301151816115743,0.0,0.0,0.0,0.0,0.02889376418788191,0.0,0.0,0.0
-0.010659470847970597,-0.19060194800289046,0.0,0.007553335799728718,0.0,-0.3007218723622402,0.0,0.0,-0.018292994281045756,0.02775193337084654,0.0,0.0,0.0,0.0,0.0,0.0,0.04927739413896273,0.0,0.021530753006501202,0.0,0.0,0.0,0.0,-0.08583713082189277,0.0,0.0,0.0
0.02335148215366007,0.31755281600142343,0.0,0.008244411466798595,0.0,0.055898463693152066,0.0,0.0,0.010400944308990304,0.03135957260929358,0.0,0.0,0.0,0.0,0.0,0.0,0.055239093392412404,0.0,0.004678362573099422,0.0,0.0,0.0,0.0,-0.006725146198830421,0.0,0.0,0.0
0.016108423917754584,-0.10826382984653227,0.0,0.014531641219840373,0.0,0.2048143384605957,0.0,0.0,-0.026998347231613012,0.09075379982916433,0.0,0.0,0.0,0.0,0.0,0.0,0.14561524275004079,0.0,-0.011224233283056837,0.0,0.0,0.0,0.0,0.009100050276520893,0.0,0.0,0.0
-8.587235109422907e-05,-0.15502755249215888,0.0,0.057862202493427946,0.0,0.05308396485497911,0.0,0.0,-0.00800653594771243,0.02728772760189227,0.0,0.0,0.0,0.0,0.0,0.0,-0.18668620865389818,0.0,0.022301151816115743,0.0,0.0,0.0,0.0,0.02889376418788191,0.0,0.0,0.0
0.01712453886575808,-0.1588534319941709,0.0,0.057862202493427946,0.0,0.11386792857389189,0.0,0.0,-0.026998347231613012,0.02728772760189227,0.0,0.0,0.0,0.0,0.0,0.0,-0.18668620865389818,0.0,0.006226350189198497,0.0,0.0,0.0,0.0,-0.010208118335053338,0.0,0.0,0.0
-0.012281182869418181,-0.1678634651586991,0.0,0.014531641219840373,0.0,0.09871552325429991,0.0,0.0,0.006065557536145781,-0.279669872942935,0.0,0.0,0.0,0.0,0.0,0.0,0.032101057156662546,0.0,-0.021186094225309954,0.0,0.0,0.0,0.0,0.0132603054171682,0.0,0.0,0.0
0.02335148215366007,0.31755281600142343,0.0,0.008244411466798595,0.0,0.055898463693152066,0.0,0.0,0.010400944308990304,0.03135957260929358,0.0,0.0,0.0,0.0,0.0,0.0,0.055239093392412404,0.0,0.004678362573099422,0.0,0.0,0.0,0.0,-0.006725146198830421,0.0,0.0,0.0
0.016108423917754584,-0.10826382984653227,0.0,0.014531641219840373,0.0,0.2048143384605957,0.0,0.0,-0.026998347231613012,0.09075379982916433,0.0,0.0,0.0,0.0,0.0,0.0,0.14561524275004079,0.0,-0.011224233283056837,0.0,0.0,0.0,0.0,0.009100050276520893,0.0,0.0,0.0
-8.587235109422907e-05,-0.15502755249215888,0.0,0.057862202493427946,0.0,0.05308396485497911,0.0,0.0,-0.00800653594771243,0.02728772760189227,0.0,0.0,0.0,0.0,0.0,0.0,-0.18668620865389818,0.0,0.022301151816115743,0.0,0.0,0.0,0.0,0.02889376418788191,0.0,0.0,0.0
-0.009609484900538827,-0.20637357592633307,0.0,-0.03565163957320826,0.0,-0.09499846673154143,0.0,0.0,-0.018292994281045756,0.014183764013331615,0.0,0.0,0.0,0.0,0.0,0.0,-0.07941324913958347,0.0,-0.10131237708596781,0.0,0.0,0.0,0.0,0.03146802362488642,0.0,0.0,0.0
0.04192541738180693,-0.1618225774410027,0.0,0.014531641219840373,0.0,0.018278693662635813,0.0,0.0,0.020453293357282576,-0.279669872942935,0.0,0.0,0.0,0.0,0.0,0.0,0.032101057156662546,0.0,-0.011224233283056837,0.0,0.0,0.0,0.0,0.009100050276520893,0.0,0.0,0.0
0.19065303674520218,-0.15488058666128615,0.0,0.01681681111943787,0.0,-0.047117685709453426,0.0,0.0,0.10182669874739055,0.014183764013331615,0.0,0.0,0.0,0.0,0.0,0.0,-0.0631761463320034,0.0,-0.029643704436902982,0.0,0.0,0.0,0.0,0.01679235796882859,0.0,0.0,0.0
-0.010659470847970597,-0.19060194800289046,0.0,0.007553335799728718,0.0,-0.3007218723622402,0.0,0.0,-0.018292994281045756,0.02775193337084654,0.0,0.0,0.0,0.0,0.0,0.0,0.04927739413896273,0.0,0.021530753006501202,0.0,0.0,0.0,0.0,-0.08583713082189277,0.0,0.0,0.0
0.01170055997642207,0.33463365588928085,0.0,0.008244411466798595,0.0,0.07297930358100951,0.0,0.0,-0.013729246487867202,0.03135957260929358,0.0,0.0,0.0,0.0,0.0,0.0,0.055239093392412404,0.0,-0.007264957264957278,0.0,0.0,0.0,0.0,0.006837606837606857,0.0,0.0,0.0
0.02371998416446621,-0.15332189974220817,0.0,0.007553335799728718,0.0,-0.20170527472472233,0.0,0.0,-0.018292994281045756,0.02775193337084654,0.0,0.0,0.0,0.0,0.0,0.0,0.04927739413896273,0.0,0.10664460745891347,0.0,0.0,0.0,0.0,0.13205712434137368,0.0,0.0,0.0
0.021417624521072848,-0.1091763487002276,0.0,0.014531641219840373,0.0,0.21012353906391398,0.0,0.0,-0.026998347231613012,0.09075379982916433,0.0,0.0,0.0,0.0,0.0,0.0,0.14561524275004079,0.0,-0.005915032679738572,0.0,0.0,0.0,0.0,-0.0059150326797385725,0.0,0.0,0.0
0.02371998416446621,-0.15332189974220817,0.0,0.007553335799728718,0.0,-0.20170527472472233,0.0,0.0,-0.018292994281045756,0.02775193337084654,0.0,0.0,0.0,0.0,0.0,0.0,0.04927739413896273,0.0,0.10664460745891347,0.0,0.0,0.0,0.0,0.13205712434137368,0.0,0.0,0.0
-0.009609484900538827,-0.18945861655125146,0.0,0.007553335799728718,0.0,-0.2973772141156212,0.0,0.0,-0.018292994281045756,0.02775193337084654,0.0,0.0,0.0,0.0,0.0,0.0,0.04927739413896273,0.0,-0.10131237708596781,0.0,0.0,0.0,0.0,0.03146802362488642,0.0,0.0,0.0
0.01170055997642207,0.33463365588928085,0.0,0.008244411466798595,0.0,0.07297930358100951,0.0,0.0,-0.013729246487867202,0.03135957260929358,0.0,0.0,0.0,0.0,0.0,0.0,0.055239093392412404,0.0,-0.007264957264957278,0.0,0.0,0.0,0.0,0.006837606837606857,0.0,0.0,0.0
-0.004718629228433158,-0.10965693252428677,0.0,0.014531641219840373,0.0,0.21384428880224318,0.0,0.0,-0.00800653594771243,0.09075379982916433,0.0,0.0,0.0,0.0,0.0,0.0,0.14561524275004079,0.0,-0.021186094225309954,0.0,0.0,0.0,0.0,0.0132603054171682,0.0,0.0,0.0
0.04192541738180693,-0.1618225774410027,0.0,0.014531641219840373,0.0,0.018278693662635813,0.0,0.0,0.020453293357282576,-0.279669872942935,0.0,0.0,0.0,0.0,0.0,0.0,0.032101057156662546,0.0,-0.011224233283056837,0.0,0.0,0.0,0.0,0.009100050276520893,0.0,0.0,0.0
-0.05689784519602631,-0.2039465324687491,0.0,-0.03565163957320826,0.0,-0.0878264488211657,0.0,0.0,0.01385832900079224,0.014183764013331615,0.0,0.0,0.0,0.0,0.0,0.0,-0.07941324913958347,0.0,0.021530753006501202,0.0,0.0,0.0,0.0,-0.08583713082189277,0.0,0.0,0.0
0.02335148215366007,0.31755281600142343,0.0,0.008244411466798595,0.0,0.055898463693152066,0.0,0.0,0.010400944308990304,0.03135957260929358,0.0,0.0,0.0,0.0,0.0,0.0,0.055239093392412404,0.0,0.004678362573099422,0.0,0.0,0.0,0.0,-0.006725146198830421,0.0,0.0,0.0
0.04294153232981043,-0.1619972221976908,0.0,0.014531641219840373,0.0,0.019294808610639314,0.0,0.0,0.020453293357282576,-0.279669872942935,0.0,0.0,0.0,0.0,0.0,0.0,0.032101057156662546,0.0,0.006226350189198497,0.0,0.0,0.0,0.0,-0.010208118335053338,0.0,0.0,0.0
0.016108423917754584,-0.10826382984653227,0.0,0.014531641219840373,0.0,0.2048143384605957,0.0,0.0,-0.026998347231613012,0.09075379982916433,0.0,0.0,0.0,0.0,0.0,0.0,0.14561524275004079,0.0,-0.011224233283056837,0.0,0.0,0.0,0.0,0.009100050276520893,0.0,0.0,0.0
0.04294153232981043,-0.1619972221976908,0.0,0.014531641219840373,0.0,0.019294808610639314,0.0,0.0,0.020453293357282576,-0.279669872942935,0.0,0.0,0.0,0.0,0.0,0.0,0.032101057156662546,0.0,0.006226350189198497,0.0,0.0,0.0,0.0,-0.010208118335053338,0.0,0.0,0.0
-0.004718629228433158,-0.10965693252428677,0.0,0.014531641219840373,0.0,0.21384428880224318,0.0,0.0,-0.00800653594771243,0.09075379982916433,0.0,0.0,0.0,0.0,0.0,0.0,0.14561524275004079,0.0,-0.021186094225309954,0.0,0.0,0.0,0.0,0.0132603054171682,0.0,0.0,0.0
0.04294153232981043,-0.1619972221976908,0.0,0.014531641219840373,0.0,0.019294808610639314,0.0,0.0,0.020453293357282576,-0.279669872942935,0.0,0.0,0.0,0.0,0.0,0.0,0.032101057156662546,0.0,0.006226350189198497,0.0,0.0,0.0,0.0,-0.010208118335053338,0.0,0.0,0.0
0.01170055997642207,0.33463365588928085,0.0,0.008244411466798595,0.0,0.07297930358100951,0.0,0.0,-0.013729246487867202,0.03135957260929358,0.0,0.0,0.0,0.0,0.0,0.0,0.055239093392412404,0.0,-0.007264957264957278,0.0,0.0,0.0,0.0,0.006837606837606857,0.0,0.0,0.0
