Attendance_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate
-0.5074857639238386,0.06773166837163384,-0.019300557155117665,-0.040945347292677674,0.0,0.0,0.0
-0.02812197551246648,0.19456394043053107,-0.5408923444164537,-0.12554962050161086,0.0,0.0,0.0
0.09917651568095687,0.2603325132555555,0.055368367624455295,0.0851226034390321,0.0,0.0,0.0
-0.02812197551246648,0.19456394043053107,-0.5408923444164537,-0.12554962050161086,0.0,0.0,0.0
-0.01829764521272323,-0.46750248897648866,-0.12947735068191094,0.11527748487112305,0.0,0.0,0.0
-0.04248570109188908,-0.48192154218373034,0.08694005411279891,-0.06253281083717917,0.0,0.0,0.0
0.10780878237062391,0.2251254377567342,0.14771174925863412,0.019354030614007815,0.0,0.0,0.0
-0.02812197551246648,0.19456394043053107,-0.5408923444164537,-0.12554962050161086,0.0,0.0,0.0
-0.02812197551246648,0.19456394043053107,-0.5408923444164537,-0.12554962050161086,0.0,0.0,0.0
0.11659778413282978,0.2251254377567342,0.07217920027967689,0.08609757783075914,0.0,0.0,0.0
-0.5074857639238386,0.06773166837163384,-0.019300557155117665,-0.040945347292677674,0.0,0.0,0.0
0.09917651568095687,0.2603325132555555,0.055368367624455295,0.0851226034390321,0.0,0.0,0.0
-0.5074857639238386,0.06773166837163384,-0.019300557155117665,-0.040945347292677674,0.0,0.0,0.0
