Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,TP_Respons_Mean,Laporan_Mean,missingindicator_TP_Mean,missingindicator_Respons_Mean,missingindicator_TP_Respons_Mean
-0.334887027563093,0.0,-0.042777301907652505,0.038264629855613644,-0.23351696705153477,0.0,0.0,0.0
0.005209822279397747,0.0,0.02337198637316562,-0.14778310820468837,0.5462846328854584,0.0,0.0,0.0
0.068499619274269,0.0,0.0038990386119715868,0.0951772992527358,-0.15715929047230964,0.0,0.0,0.0
0.017124957598371772,0.0,0.023884483830845765,-0.32501100423208623,-0.2889151038637978,0.0,0.0,0.0
-0.011709227412110421,0.0,0.033228364858099435,-0.35798424659506917,-0.23645155751758645,0.0,0.0,0.0
0.005209822279397747,0.0,0.02337198637316562,-0.14778310820468837,0.5462846328854584,0.0,0.0,0.0
0.025576371021536103,0.0,-0.04363207547169803,0.0316996617114542,0.41343937607204134,0.0,0.0,0.0
0.011245265151515148,0.0,0.0884967672413793,-0.10616206709956708,0.43350336804000605,0.0,0.0,0.0
0.068499619274269,0.0,0.0038990386119715868,0.0951772992527358,-0.15715929047230964,0.0,0.0,0.0
0.068499619274269,0.0,0.0038990386119715868,0.0951772992527358,-0.15715929047230964,0.0,0.0,0.0
0.016732031398894596,0.0,0.02337198637316562,0.032731501334095706,0.3542478142271774,0.0,0.0,0.0
0.016732031398894596,0.0,0.02337198637316562,0.032731501334095706,0.3542478142271774,0.0,0.0,0.0
0.068499619274269,0.0,0.0038990386119715868,0.0951772992527358,-0.15715929047230964,0.0,0.0,0.0
0.032831849631914725,0.0,0.033228364858099435,0.09768759564811738,-0.15333114347146481,0.0,0.0,0.0
-0.334887027563093,0.0,-0.042777301907652505,0.038264629855613644,-0.23351696705153477,0.0,0.0,0.0
0.017124957598371772,0.0,0.023884483830845765,-0.32501100423208623,-0.2889151038637978,0.0,0.0,0.0
0.017124957598371772,0.0,0.023884483830845765,-0.32501100423208623,-0.2889151038637978,0.0,0.0,0.0
0.017124957598371772,0.0,0.023884483830845765,-0.32501100423208623,-0.2889151038637978,0.0,0.0,0.0
0.025576371021536103,0.0,-0.3079998915636521,0.0316996617114542,0.011140525497328607,0.0,0.0,0.0
0.025576371021536103,0.0,-0.3079998915636521,0.0316996617114542,0.011140525497328607,0.0,0.0,0.0
0.06464690466336126,0.0,0.033228364858099435,0.4231674829646791,-0.09395941915280655,0.0,0.0,0.0
0.032831849631914725,0.0,0.033228364858099435,0.02803585435458504,-0.08367940217793247,0.0,0.0,0.0
-0.334887027563093,0.0,-0.042777301907652505,0.038264629855613644,-0.23351696705153477,0.0,0.0,0.0
-0.334887027563093,0.0,-0.042777301907652505,0.038264629855613644,-0.23351696705153477,0.0,0.0,0.0
