Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
0.393273035613341,0.1672131147540984,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
0.393273035613341,0.1672131147540984,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
0.393273035613341,0.1672131147540984,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
0.393273035613341,0.1672131147540984,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
0.393273035613341,0.1672131147540984,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
0.393273035613341,0.1672131147540984,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
0.393273035613341,0.1672131147540984,0.0,0.0
-0.17773784914186816,-0.021964088264987264,0.0,0.0
