Attendance_PreFinal_Rate,TP_Mean,Laporan_Mean,TP_Completion_Rate,Laporan_Completion_Rate,Performance_Std,missingindicator_TP_Mean,missingindicator_Laporan_Mean,missingindicator_Performance_Std
0.0,0.027960270072089045,0.13401432258187393,0.0,0.0,0.3309831538249104,0.0,0.0,0.0
0.0,-0.07670009958742352,0.6275252525252526,0.0,0.0,-0.05786740645895577,0.0,0.0,0.0
0.0,0.11525576018448055,0.018161071763834358,0.0,0.0,-0.015459085469441785,0.0,0.0,0.0
0.0,-0.059415573903189266,0.11913226485348874,0.0,0.0,0.4332410555285739,0.0,0.0,0.0
0.0,-0.04845007192425032,0.6557752801884258,0.0,0.0,-0.11436746178530217,0.0,0.0,0.0
0.0,0.02280003384670603,-0.24181735200314558,0.0,0.0,-0.2880249353646872,0.0,0.0,0.0
0.0,-0.04845007192425032,0.6557752801884258,0.0,0.0,-0.11436746178530217,0.0,0.0,0.0
0.0,0.02280003384670603,-0.24181735200314558,0.0,0.0,-0.2880249353646872,0.0,0.0,0.0
0.0,-0.059415573903189266,-0.23242674437429173,0.0,0.0,0.3848000647563542,0.0,0.0,0.0
0.0,-0.04845007192425032,0.6557752801884258,0.0,0.0,-0.11436746178530217,0.0,0.0,0.0
0.0,-0.04845007192425032,0.6557752801884258,0.0,0.0,-0.11436746178530217,0.0,0.0,0.0
0.0,-0.24491849039202118,-0.07612417276210383,0.0,0.0,-0.18599959036700178,0.0,0.0,0.0
0.0,0.02280003384670603,-0.24181735200314558,0.0,0.0,-0.2880249353646872,0.0,0.0,0.0
0.0,-0.07670009958742352,0.6275252525252526,0.0,0.0,-0.05786740645895577,0.0,0.0,0.0
0.0,0.11525576018448055,0.018161071763834358,0.0,0.0,-0.015459085469441785,0.0,0.0,0.0
0.0,0.02280003384670603,-0.24181735200314558,0.0,0.0,-0.2880249353646872,0.0,0.0,0.0
0.0,0.11525576018448055,0.018161071763834358,0.0,0.0,-0.015459085469441785,0.0,0.0,0.0
0.0,-0.059415573903189266,-0.10989153310668612,0.0,0.0,0.26226485348874856,0.0,0.0,0.0
