Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Respons_TP_Gap
0.0017215895879148925,-0.07544054024428562,-0.012948568154139101,-0.1970350381078088,-0.0019933677308473586,0.0006992562567633232,0.0002104437420419965,-0.002238828403217478
0.004371241734321639,0.09030156905201754,0.06766573730742427,0.10517016695140942,-0.006537560097843334,0.03222453075435408,0.017236314205671066,0.004614205131283224
-0.0006069454325845388,-0.083766828015269,-0.04336789253507415,-0.15799022106880659,-0.001487641037064693,-0.0007207703499594047,0.0004962684340998633,-0.001045547654748547
0.012963610215253567,0.13293150477327523,0.1738572541146781,0.07664176289009288,0.004069434831100245,-9.044648987324423e-05,0.0178430790594136,0.004605003337468832
0.011958830720669117,-0.031412448218614705,0.014063187613062314,0.11227171864490564,0.0020507354954915264,-0.0029424154917364253,0.021338159019633148,0.0028374648302361967
0.007301763210817119,0.05932567228694155,-0.033300982631691026,-0.0524180953953834,-0.003609107086554079,-0.0002901420214982487,0.008610040392600795,0.04782436218292887
0.02085493279629717,0.07245553386076951,0.02933756673593702,-0.09058680340065724,-0.009729579244659193,-0.02365981985524555,0.011263181845210402,-0.022493313724059365
0.013623805161068316,-0.023691512647147757,0.024487518459287923,0.11802775096602602,0.004805909970018931,0.0023635775107260825,0.016711748780317663,0.003340285422417895
0.005962585577964483,0.07260548014027818,-0.0015607830423158891,0.08763091655509621,0.0022290849921297574,-0.010437728155982144,0.005021835302427866,0.001367699954393634
0.003338319172627241,-0.07159891625235018,-0.04028999709839518,-0.18896637692689383,-0.0022928742525837854,0.0039001569423642874,0.0003466306121776102,0.022548862716899376
-0.06541620018650031,-0.039127500682639565,-0.010929709353376997,0.10248674280393782,0.0018033057827405758,-0.0065688623774466,0.015624320544769003,0.0032237153167508953
0.009998237160441967,-0.08195251089840874,-0.052455393081127545,-0.06819510145169262,0.0006898871611428746,-0.000776727167927558,0.0068114372293240225,0.00020744812185511484
0.004290298976127526,-0.07337419875066417,-0.01903034174497875,-0.1965682790344459,-0.0015364394850445424,-0.00025251166217471396,0.00024862154981017523,-0.004976195576200494
0.0054219422642833,-0.07715056163860842,-0.05528026021350281,-0.059649313285624665,-0.0015800779541603552,-0.027057566367260706,0.0037795392744446464,-0.005624295855925563
0.0006155396514103408,-0.025779759541631943,-0.052459029828435956,-0.12158324943264417,-0.0010078790141428734,-0.012071262630418684,0.004209208281196469,0.002071784963803806
-0.005924273431379719,0.07768286192246915,0.02886401730364695,0.11436531050354626,0.005363655307208795,-0.01776365897724122,0.025699662881292957,0.0030334659340461646
0.012963610215253567,0.13293150477327523,0.1738572541146781,0.07664176289009288,0.004069434831100245,-9.044648987324423e-05,0.0178430790594136,0.004605003337468832
0.010469312488989446,0.02976183591887728,0.08153623307490614,0.09603898839667571,0.006269342015033835,0.0007206096044275136,0.006758597087467987,0.0024794817061912634
0.0017215895879148925,-0.08159031966736979,-0.02423229075442053,-0.20380481490117047,-0.0019933677308473586,-0.0004942425860727799,0.0002104437420419965,-0.005413479315082645
0.021886298511517726,0.10939365643497509,0.09413076833637476,0.10136754027475046,0.0017986225871627134,0.029746852104925912,-0.012952205584994813,0.004768770535185363
0.000992274881804893,-0.08670608067884239,-0.04598381427169945,-0.16312307396597836,-0.004898876198018231,-0.022063037806165052,0.0015629579410472174,-0.013780426081804097
0.009819290964412438,-0.07172775928181521,-0.06353212457342663,0.11383461091611209,0.0023494681425405973,-0.001359772956630876,0.0067686034828266396,0.0003620116110324748
-0.0023748945200748766,0.012781932740471503,-0.04856547744567192,0.09721368900568045,-0.0047321907004637,-0.009140919917570996,0.012429770063292522,0.011066696654388582
0.019044607354239358,0.11399311249258068,0.09246172285336741,0.11459182711609354,0.001842977880914805,0.028314816562502117,0.012965055179328071,0.004948161782849245
0.010038213138516704,-0.06380044699554069,-0.06447124389702756,0.09952578662677874,0.003125304348392906,0.00352672079244352,0.013491346703429052,0.000566523263885318
