Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility
-0.04319360802411654,-0.04235115167318555,-0.10461757195514255,0.14928931577942875,0.0,0.0,0.0,-0.007936507936507936
-0.015420055462428351,-0.01511118354338693,-0.038843230686451,-0.40649854618074954,0.0,0.0,0.0,-0.04793650793650793
-0.04319360802411654,-0.04235115167318555,-0.10461757195514255,0.14928931577942875,0.0,0.0,0.0,-0.007936507936507936
-0.015420055462428351,-0.01511118354338693,-0.038843230686451,-0.40649854618074954,0.0,0.0,0.0,-0.04793650793650793
-0.04319360802411654,-0.04235115167318555,-0.10461757195514255,0.14928931577942875,0.0,0.0,0.0,-0.007936507936507936
-0.015420055462428351,-0.01511118354338693,-0.038843230686451,-0.40649854618074954,0.0,0.0,0.0,-0.04793650793650793
0.05423704382037714,-0.012691911997467553,0.1955877198932755,0.24699413241079907,0.0,0.0,0.0,-0.007936507936507936
-0.015420055462428351,-0.01511118354338693,-0.038843230686451,-0.40649854618074954,0.0,0.0,0.0,-0.04793650793650793
0.05423704382037714,-0.012691911997467553,0.1955877198932755,0.24699413241079907,0.0,0.0,0.0,-0.007936507936507936
-0.04319360802411654,-0.04235115167318555,-0.10461757195514255,0.14928931577942875,0.0,0.0,0.0,-0.007936507936507936
0.05423704382037714,-0.012691911997467553,0.1955877198932755,0.24699413241079907,0.0,0.0,0.0,-0.007936507936507936
0.05423704382037714,-0.012691911997467553,0.1955877198932755,0.24699413241079907,0.0,0.0,0.0,-0.007936507936507936
0.05423704382037714,-0.012691911997467553,0.1955877198932755,0.24699413241079907,0.0,0.0,0.0,-0.007936507936507936
-0.04319360802411654,-0.04235115167318555,-0.10461757195514255,0.14928931577942875,0.0,0.0,0.0,-0.007936507936507936
-0.017600065763907588,0.31460855528652126,-0.04416868442292174,0.2312871790272919,0.0,0.0,0.0,-0.007936507936507936
-0.04319360802411654,-0.04235115167318555,-0.10461757195514255,0.14928931577942875,0.0,0.0,0.0,-0.007936507936507936
0.051400184874761126,-0.012090154039306578,-0.03131531839158955,-0.17386772831688097,0.0,0.0,0.0,-0.007936507936507936
0.05423704382037714,-0.012691911997467553,0.1955877198932755,0.24699413241079907,0.0,0.0,0.0,-0.007936507936507936
-0.04319360802411654,-0.04235115167318555,-0.10461757195514255,0.14928931577942875,0.0,0.0,0.0,-0.007936507936507936
-0.015420055462428351,-0.01511118354338693,-0.038843230686451,-0.40649854618074954,0.0,0.0,0.0,-0.04793650793650793
0.14397869341372171,-0.029192889833191127,-0.07293101419749251,0.19227219474394613,0.0,0.0,0.0,-0.007936507936507936
-0.015420055462428351,-0.01511118354338693,-0.038843230686451,-0.0964985461807496,0.0,0.0,0.0,-0.007936507936507936
-0.017600065763907588,0.31460855528652126,-0.04416868442292174,0.2312871790272919,0.0,0.0,0.0,-0.007936507936507936
0.05423704382037714,-0.012691911997467553,0.1955877198932755,0.24699413241079907,0.0,0.0,0.0,-0.007936507936507936
-0.04319360802411654,-0.04235115167318555,-0.10461757195514255,0.14928931577942875,0.0,0.0,0.0,-0.007936507936507936
-0.015420055462428351,-0.01511118354338693,-0.038843230686451,-0.0964985461807496,0.0,0.0,0.0,-0.007936507936507936
0.05423704382037714,-0.012691911997467553,0.1955877198932755,0.24699413241079907,0.0,0.0,0.0,-0.007936507936507936
-0.015420055462428351,-0.01511118354338693,-0.038843230686451,-0.0964985461807496,0.0,0.0,0.0,-0.007936507936507936
0.14397869341372171,-0.029192889833191127,-0.07293101419749251,0.19227219474394613,0.0,0.0,0.0,-0.007936507936507936
0.14397869341372171,-0.029192889833191127,-0.07293101419749251,0.19227219474394613,0.0,0.0,0.0,-0.007936507936507936
0.14397869341372171,-0.029192889833191127,-0.07293101419749251,0.19227219474394613,0.0,0.0,0.0,-0.007936507936507936
0.14397869341372171,-0.029192889833191127,-0.07293101419749251,0.19227219474394613,0.0,0.0,0.0,-0.007936507936507936
