Attendance_PreFinal_Rate,TP_Mean,Laporan_Mean,TP_Completion_Rate,Laporan_Completion_Rate,Performance_Std,Early_Performance_Composite,missingindicator_TP_Mean,missingindicator_Laporan_Mean,missingindicator_Performance_Std,missingindicator_Early_Performance_Composite
0.0,0.03649113958730278,-0.17985369588170302,0.0,0.0,0.06021513038673471,0.10943850571987207,0.0,0.0,0.0,0.0
0.0,-0.05737272208965938,0.48010097064144,0.0,0.0,-0.06984412723215858,0.14007362515925134,0.0,0.0,0.0,0.0
0.0,0.1195218750321481,-0.1316972630012589,0.0,0.0,-0.05759708123948533,0.1011917541490079,0.0,0.0,0.0,0.0
0.0,-0.0474384814634936,0.13178294602165416,0.0,0.0,0.2698028978468511,0.13881038407386148,0.0,0.0,0.0,0.0
0.0,-0.05737272208965938,0.48010097064144,0.0,0.0,-0.06984412723215858,0.14007362515925134,0.0,0.0,0.0,0.0
0.0,0.04511805130298701,-0.002987004150506928,0.0,0.0,-0.06663997362099011,-0.48253332705261665,0.0,0.0,0.0,0.0
0.0,-0.05737272208965938,0.48010097064144,0.0,0.0,-0.06984412723215858,0.14007362515925134,0.0,0.0,0.0,0.0
0.0,0.04511805130298701,-0.002987004150506928,0.0,0.0,-0.06663997362099011,-0.48253332705261665,0.0,0.0,0.0,0.0
0.0,-0.0474384814634936,-0.18745892495730607,0.0,0.0,0.15782237272078617,0.10336611351222003,0.0,0.0,0.0,0.0
0.0,-0.05737272208965938,0.48010097064144,0.0,0.0,-0.06984412723215858,0.14007362515925134,0.0,0.0,0.0,0.0
0.0,-0.05737272208965938,0.48010097064144,0.0,0.0,-0.06984412723215858,0.14007362515925134,0.0,0.0,0.0,0.0
0.0,-0.15537843754179245,-0.07041205922860169,0.0,0.0,-0.25807233707090116,0.07682058032016854,0.0,0.0,0.0,0.0
0.0,0.04511805130298701,-0.002987004150506928,0.0,0.0,-0.06663997362099011,-0.48253332705261665,0.0,0.0,0.0,0.0
0.0,-0.05737272208965938,0.48010097064144,0.0,0.0,-0.06984412723215858,0.14007362515925134,0.0,0.0,0.0,0.0
0.0,0.1195218750321481,-0.03154772379068682,0.0,0.0,-0.1647088878818084,0.1081540215807589,0.0,0.0,0.0,0.0
0.0,0.04511805130298701,-0.002987004150506928,0.0,0.0,-0.06663997362099011,-0.48253332705261665,0.0,0.0,0.0,0.0
0.0,0.04511805130298701,-0.002987004150506928,0.0,0.0,-0.06663997362099011,-0.48253332705261665,0.0,0.0,0.0,0.0
0.0,-0.15537843754179245,-0.17056159843917373,0.0,0.0,-0.15096053042857804,0.06985831288841754,0.0,0.0,0.0,0.0
