Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean
-0.014818847574716222,-0.060018987595747204,-0.07640068520269677,-0.19964275568229628
0.015781319133415534,-0.06912699093372739,0.005765024580004554,0.05869675572473554
0.06859216833481398,0.15101698873968353,0.17856430105386642,0.07515214921056272
0.07867954034548566,0.12041861339206124,0.16171716404554418,0.08941990771545326
-0.1255704168721273,-0.03339649368711677,-0.030263389566482047,0.14165732647048354
-0.13287711594444365,-0.01629992662101773,-0.07620698114608764,0.18600863066197526
0.04934069735417964,0.12178794552162413,0.06679565635900356,0.11569059520590606
0.07040130914913771,0.14791893216182156,0.17050046402630384,0.08832216806892972
0.07867954034548566,0.12041861339206124,0.16171716404554418,0.08941990771545326
0.07630740262171283,0.15133258547666925,0.17616419539819164,0.07564642384235298
0.06859216833481398,0.15101698873968353,0.17856430105386642,0.07515214921056272
0.002202138398904829,0.011329165056756393,0.006347930508487935,0.12000030951039538
0.06955848915300951,0.14826965586029675,0.17263643134652654,0.08501163037969334
-0.04971616793359937,-0.08544998051743204,-0.002991811258182924,-0.2152081232060498
-0.1148973421609554,-0.0902811098434686,-0.09298210506564764,0.03807789334999218
0.017626031120108937,-0.06477390735747086,-0.0480357960792759,-0.08783337659169672
-0.0960470993339094,-0.0723308648146711,-0.05189026308224111,-0.07959946518605131
-0.00259264888196617,-0.09528010755391783,-0.10102039258134385,0.114840750538443
-0.10924847162375788,-0.05175649179556007,-0.11829864864195824,-0.03411268452920062
0.0061675359063965264,0.09734933357780491,0.1074267281351174,0.13836883539393338
0.007189830722091559,-0.057311498866306675,-0.10356881239987897,-0.018320732120646718
0.02565681969500198,-0.07765426703304806,-0.07568755328708916,0.0628323487233029
0.004629696636699437,-0.08265704016183659,-0.08671328043635498,0.22220248642423784
-0.0010975650459762374,-0.01492874207129916,-0.016098950605222935,0.11839054996802192
-0.07075187547655451,-0.0817655766381645,8.05715930062083e-05,-0.18351250797685642
0.003914907399555559,-0.01665439704407569,-0.06706562328726415,0.11212510227759302
-0.002737609668447573,-0.09308252366095421,-0.09496159451808371,0.14525504413418505
-0.010563080812153791,-0.03125450528329471,-0.04628938405244601,-0.15952816055786984
0.004869738836301099,0.12234317439803648,0.11431711210520147,0.12062331676462242
0.06593676089945784,-0.007378069602590674,0.13208331522664407,0.10780912806594256
0.005403935376303442,0.11845444573104735,0.1101692769357612,0.1293266220119873
