Laporan_Improvement,Respons_Improvement,TP_Improvement,Laporan_EarlyMean,Laporan_LateMean,Respons_EarlyMean,Respons_LateMean,TP_EarlyMean,TP_LateMean,Overall_Consistency,Overall_Recent_Mean,Overall_Trend,Performance_Mean,Laporan_Mean,Respons_Mean,TP_Mean,Laporan_Std,Respons_Std,TP_Std,Laporan_Completion_Rate,Attendance_PreFinal_Rate
0.09481442967748184,0.0889253021966672,-0.025054457759155494,0.007945310214593876,-0.04280399215426063,0.01615491981030294,-0.00349320942823482,-0.08349075337467433,-0.004500718148125842,0.018023524621041027,-0.014477797873986816,-0.008964118021467675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08709017021751844,0.06635049133342923,-0.002111042528960749,0.007822373292365414,-0.030706728797892692,-0.10514290937953163,-0.06361939011181184,-0.06919865086773422,-0.030811941840683747,0.016656468527794933,-0.007163376553101722,-0.014228729608549633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09863707271665091,0.09167152121778424,-0.021128530226887345,0.014345556044524872,-0.040353836026939746,-0.010606192011878353,-0.002785639785998218,-0.09193183151935581,-0.009441886350329309,0.015040855270530888,-0.013485337170910902,-0.0074691951068367015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09900983703741907,0.06812078405624429,-0.027134451733658634,0.010223403203458187,-0.042565958560918354,0.01576684179015321,0.021396450289783726,-0.07987400069123113,0.004445064991546474,0.015366432324436134,-0.016758308524663968,0.001247593999274113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09626829544633607,0.08518562170626112,-0.01563250960060722,0.008058137261707565,-0.04436810752966899,0.023847203653191523,-0.005287998465668759,-0.08287273026110611,0.007456130667023488,0.013774151692458492,-0.016910240680220366,-0.008301440457048323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08018643485479807,0.06354293163999399,-0.0051214172154071804,0.03108917034444713,-0.03779866886949414,-0.0069198349587940656,-0.06939267495253008,-0.09764403991764645,-0.03742631221634557,0.013550401951504289,-0.00972381702259256,0.0008677155630266229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09293821170618517,0.0673934737037834,0.007965153807220115,-0.035294536695417204,-0.0037480379894308537,-0.016122514079596702,-0.06439837207824234,-0.07110604537363566,-0.04062802946700162,0.01785102914497269,-0.014608240362816141,-0.014531705721259128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0978479011199845,0.06255557998814838,-0.018031184319972506,0.006582923072227542,-0.04286772498205299,0.019635624548383294,-0.022715822411561313,-0.07845284860821487,-0.0018263808053953874,0.015555894151975818,-0.013562614505880343,0.006915691505567529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09525414384269894,0.09660182752064111,-0.025437760277403496,0.006836600950206117,-0.04352403707118331,0.022263314738779814,-0.006576627941600402,-0.08613084838085718,-0.012157246032716925,0.014347900852913025,-0.015862431130320015,-0.0041801716485066745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08920034234952896,0.0648817947856515,-0.005242636177468359,0.0024467606201698227,-0.036764101026933615,0.002575444082428723,-0.07212302540718889,-0.0755670770425527,-0.03729416967590844,0.015785792493419094,-0.009616460005159795,-0.007019248667403392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1019650286999103,0.06542959948454527,-0.020721780637103428,0.007678071299886087,-0.04260369206762127,0.019258983106672525,0.021210591324344732,-0.0774071765066448,0.009572538227031116,0.019797345791769946,-0.015146206204018532,0.005273512304508645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09664743455894591,0.0771292281721235,-0.016654219016582324,0.013284579923618268,-0.041994485417803734,0.016248655708812565,-0.00045845017924163857,-0.08190884416928508,-0.0016692580434289753,0.020480489252618854,-0.012019848372707071,-0.010099555800517971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10151443945033775,0.05881760659688726,-0.015273641337044046,0.015104697601464259,-0.041788866059110835,0.017262587645883544,-0.023078335203674125,-0.07592408980525106,-0.003554101460759644,0.0191228009158044,-0.012327796768213614,0.010461616488547681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10206363866865693,0.09761127888579701,-0.016002567533551636,0.04119554292292432,-0.0026784292349224274,0.025165344382281532,-0.001099735092134314,-0.10846587268532146,-0.0038968169861394297,0.01287133537020429,-0.015134566508100038,-0.005951619395029193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0864353964930561,0.06894516413320484,0.004758035466529386,-0.053435426830629816,-0.02958970679861344,-0.0018596650826057004,-0.05637272480359018,-0.0668754030600028,-0.03949164941285955,0.019220735679561753,-0.012836896365470014,-0.00919942426894936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10184411247812594,0.06467064278733047,-0.017525703115290298,0.017846165217712533,-0.0418730299851129,0.019259307901078784,0.02079240161047137,-0.07927424821772887,-0.0023731950114483746,0.019596199037752633,-0.012312466956929188,0.004759415251076474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
