Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
0.33610090446579993,0.22438524590163939,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
0.33610090446579993,0.22438524590163939,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
0.33610090446579993,0.22438524590163939,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
0.33610090446579993,0.22438524590163939,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
0.33610090446579993,0.22438524590163939,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
0.33610090446579993,0.22438524590163939,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
0.33610090446579993,0.22438524590163939,0.0,0.0,0.0,0.0,0.0
-0.17791995199020788,-0.023314161106126607,0.0,0.0,0.0,0.0,0.0
