Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate
0.015936643477273395,-0.03324106456898171,-0.025988785417607293,-0.18876171503269032,-0.002325231815442975,0.0020519215761405822,-0.003750083631885527
-0.057557086134574026,0.04078644277491481,0.052763065396660244,0.11957692301184811,-0.007639823477830533,0.00028716301992813087,0.017907155662547174
0.0031435616771373675,-0.06768375030888481,-0.06178850928660511,-0.17015908662275847,-0.0019389654702179377,0.0025997769760724623,-0.0031095484993013604
0.022570002612793717,0.14360781038371226,0.16304617769001445,0.057632194932936386,0.00016637331244215685,-0.0013445327854066421,0.009771178082093317
0.0267122000920388,-0.009808960349612787,0.010020878135764978,0.12808385827595642,0.0010867687376976054,-0.0036783511247327873,0.012110385071600227
0.03365522639438881,0.059610155696781436,-0.04635233545037056,-0.05752374348540534,-0.0027349134414161526,0.0016053590568618204,-0.0014943807547467898
0.0050474107555930235,0.057241940432105023,0.059149827933612384,-0.08504210493194167,-0.009328310214459052,-0.05651835269448673,0.011217876519877752
0.028243709277847934,0.008125959227589642,0.02357844729201209,0.08979867158041709,-0.0005923362108867084,-0.004333176846050046,0.011906806919084927
0.01909899663820981,0.05990768869633452,0.011158923817936765,0.09655532145907678,0.0035689804653441255,-0.026880521778243533,0.0016355667937905216
0.02179786067600805,-0.031993279521422766,-0.04737742546246474,-0.16539716367633112,-0.0013082212367155949,0.004223647777796642,-0.0036095925559228976
-0.0850599671816869,-0.024224777477635764,-0.004524722655132755,0.12215487318139906,-0.0005966480212927618,-0.00971885621989292,0.004004186581247857
0.024445511158798575,-0.05496453475007282,-0.03903884880431225,-0.04827078429989541,-0.0009368400019822367,-0.0014475191833150049,0.004389664752323757
0.019981043858822187,-0.04769746663809015,-0.02145929781158502,-0.17773437405390596,-0.002325231815442975,0.005492455205677647,-0.00348695931018474
0.020536434990820304,-0.06031011890735157,-0.05283651391249163,-0.036601063883185556,-0.0053708219937951465,-0.041297500535541154,0.0001245521364738222
0.006197993675789984,-0.013930994252875572,-0.07859694399209056,-0.15060023857720484,0.00032146390832166725,-0.029186401036831452,-8.866811001993412e-05
-0.010757746957361739,0.0459415756031192,0.033411706411090855,0.11370728221429735,0.030412990777884504,-0.03100952510004594,0.0243484411532327
0.022570002612793717,0.1430923464661865,0.16304617769001445,0.05814765885046216,0.00016637331244215685,-0.0013445327854066421,0.009771178082093317
0.02459346750962303,0.03993838343808839,0.08167467590873057,0.11224875038472294,0.0006211460968652282,-0.00244833384258201,0.013168769744105337
0.014334396376757933,-0.05166526605262498,-0.03624875068485679,-0.19459793442702022,-0.002325231815442975,0.0020519215761405822,-0.003627450386147369
0.0261987639304729,0.06105253684165492,0.06785572867275144,0.08722179088164675,0.02784363780078382,0.024077235997052717,0.01691715858998308
0.0056716262497106575,-0.04982084141019264,-0.0696856820096059,-0.1727013609973221,-0.005946444532013222,-0.03354440035004656,-0.0019399795781778226
0.01787382238140628,-0.08545790863347714,-0.05826419707066699,0.11842817986950119,0.000791111383314047,-0.005981880655836552,0.0027671511230633467
-0.06412185746969809,-0.00717093795409858,-0.05810619434041679,0.11405668699508462,-0.0024764873690770323,-0.03956431016650036,0.0020171763039069997
0.023734274852185953,0.06407347415447327,0.0628122472620828,0.11018169183943573,0.02721896646891305,0.022971927405987424,0.0721350550449928
0.01252317809213306,-0.04544566798017981,-0.049117033403635164,0.06632135256858447,0.0014698789792037962,-0.00511426997719634,0.07254603793921088
