Laporan_Improvement,Respons_Improvement,TP_Improvement,Laporan_EarlyMean,Laporan_LateMean,Respons_EarlyMean,Respons_LateMean,TP_EarlyMean,TP_LateMean,Overall_Consistency,Overall_Recent_Mean,Overall_Trend,Performance_Mean,Laporan_Mean,Respons_Mean,TP_Mean,Laporan_Std,Respons_Std,TP_Std,Laporan_Completion_Rate,Attendance_PreFinal_Rate,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
22.0,-0.5,-0.5,65.5,87.5,85.0,84.5,85.0,84.5,0.09261009443297592,85.5,7.0,82.0,76.5,84.75,84.75,15.56438241627338,0.4330127018922193,0.4330127018922193,1.0,1.0,1,Kompeten,60200125001,A,UNIFIED
1.25,-45.0,-25.0,66.25,67.5,84.0,39.0,84.0,59.0,0.0376950519631965,55.166666666666664,-22.916666666666664,66.625,66.875,61.5,71.5,16.898132293244718,35.703641270884404,18.567444627627143,1.0,0.75,0,Belum Kompeten,60200125006,A,UNIFIED
8.75,-5.5,-5.5,76.5,85.25,87.5,82.0,87.5,82.0,0.15507568067022243,83.08333333333333,-0.75,83.45833333333333,80.875,84.75,84.75,7.724757277740188,3.112474899497183,3.112474899497183,1.0,1.0,1,Kompeten,60200125007,A,UNIFIED
0.25,-84.0,-23.5,85.0,85.25,84.0,0.0,84.0,60.5,0.030127940408787173,48.583333333333336,-35.74999999999999,66.45833333333333,85.125,42.0,72.25,0.739509972887452,42.09513035969837,18.872930350107268,1.0,0.75,1,Kompeten,60200125016,A,UNIFIED
-41.5,-40.0,-40.0,41.5,0.0,40.0,0.0,40.0,0.0,0.027715298326005937,0.0,-40.5,20.25,20.75,20.0,20.0,35.94005425705421,34.64101615137755,34.64101615137755,0.25,0.75,0,Belum Kompeten,60200125017,A,UNIFIED
-0.25,-81.5,-41.5,68.5,68.25,81.5,0.0,81.5,40.0,0.03148825290584025,36.083333333333336,-41.083333333333336,56.625,68.375,40.75,60.75,18.375850320461364,40.76380134383936,20.777090749188154,1.0,0.875,1,Kompeten,60200125031,A,UNIFIED
2.5,-1.5,-1.5,83.5,86.0,85.5,84.0,85.5,84.0,0.38644158264425477,84.66666666666667,-0.1666666666666572,84.75,84.75,84.75,84.75,1.479019945774904,1.6393596310755,1.6393596310755,1.0,1.0,1,Kompeten,60200125032,A,UNIFIED
1.5,-42.5,0.0,85.5,87.0,85.0,42.5,85.0,85.0,0.04027743652549905,71.5,-13.666666666666671,78.33333333333333,86.25,63.75,85.0,1.9525624189766635,36.9754986443726,3.5355339059327378,1.0,1.0,1,Kompeten,60200125033,A,UNIFIED
1.0,40.5,-5.0,76.0,77.0,43.5,84.0,89.0,84.0,0.04029943998487876,81.66666666666667,12.166666666666671,75.58333333333333,76.5,63.75,86.5,8.796306042879591,36.83323906473608,2.692582403567252,1.0,0.75,1,Kompeten,60200125034,A,UNIFIED
1.5,-47.5,-5.0,75.5,77.0,90.0,42.5,90.0,85.0,0.039464793581893004,68.16666666666667,-17.0,76.66666666666667,76.25,66.25,87.5,8.814051281902097,38.3038836151114,2.5,1.0,1.0,1,Kompeten,60200125049,A,UNIFIED
2.25,-40.0,0.5,85.0,87.25,83.0,43.0,83.0,83.5,0.04081860365142046,71.25,-12.416666666666671,77.45833333333333,86.125,63.0,83.25,1.4737282653189494,36.45545226711637,2.7726341266023544,1.0,1.0,1,Kompeten,60200125050,A,UNIFIED
10.0,-2.5,-2.5,65.5,75.5,84.0,81.5,84.0,81.5,0.09231371036672219,79.5,1.6666666666666714,78.66666666666667,70.5,82.75,82.75,13.624426593438713,1.479019945774904,1.479019945774904,1.0,1.0,0,Belum Kompeten,60200125053,A,UNIFIED
12.0,-4.5,-4.5,75.75,87.75,88.0,83.5,88.0,83.5,0.15082049416811258,84.91666666666667,1.0,84.41666666666667,81.75,85.75,85.75,8.370334521391603,2.680951323690902,2.680951323690902,1.0,1.0,1,Kompeten,60200125074,A,UNIFIED
3.25,41.5,1.5,82.5,85.75,40.0,81.5,80.0,81.5,0.04207127926452134,82.91666666666667,15.416666666666671,75.20833333333333,84.125,60.75,80.75,1.6345871038277526,35.0954056822257,1.299038105676658,1.0,0.75,1,Kompeten,60200125075,A,UNIFIED
18.0,-2.0,-2.0,67.25,85.25,85.0,83.0,85.0,83.0,0.13227363571664813,83.75,4.666666666666671,81.41666666666667,76.25,84.0,84.0,9.058835465996719,1.8708286933869707,1.8708286933869707,1.0,1.0,1,Kompeten,60200125078,A,UNIFIED
0.0,-48.5,-28.5,69.0,69.0,87.5,39.0,87.5,59.0,0.036011283376850625,55.666666666666664,-25.666666666666664,68.5,69.0,63.25,73.25,19.0,36.76530293632843,19.66437133498043,1.0,0.75,1,Kompeten,60200125099,A,UNIFIED
9.0,-2.5,-2.5,75.75,84.75,85.0,82.5,85.0,82.5,0.17561989470596492,83.25,1.3333333333333286,82.58333333333333,80.25,83.75,83.75,7.110731326663946,1.920286436967152,1.920286436967152,1.0,1.0,0,Belum Kompeten,60200125100,A,UNIFIED
8.0,-4.0,-4.0,77.25,85.25,87.5,83.5,87.5,83.5,0.1572978068943045,84.08333333333333,0.0,84.08333333333333,81.25,85.5,85.5,7.9726093595509875,2.29128784747792,2.29128784747792,1.0,1.0,1,Kompeten,60200125101,A,UNIFIED
11.5,-2.25,-2.25,75.25,86.75,85.75,83.5,85.75,83.5,0.16809418061556594,84.58333333333333,2.3333333333333286,83.41666666666667,81.0,84.625,84.625,7.705517503711221,1.6345871038277526,1.6345871038277526,1.0,1.0,1,Kompeten,60200125114,A,UNIFIED
-22.0,-43.5,-43.5,42.0,20.0,82.5,39.0,82.5,39.0,0.025832279363950557,32.666666666666664,-36.333333333333336,50.833333333333336,31.0,60.75,60.75,34.68429039204925,35.16656793035112,35.16656793035112,0.5,0.75,0,Belum Kompeten,60200125116,A,UNIFIED
10.5,-2.5,-2.5,75.0,85.5,84.0,81.5,84.0,81.5,0.17714668931820637,82.83333333333333,1.8333333333333286,81.91666666666667,80.25,82.75,82.75,7.495832175282475,1.479019945774904,1.479019945774904,1.0,1.0,1,Kompeten,60200125117,A,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,Belum Kompeten,60200125118,A,UNIFIED
-66.5,-86.5,-86.5,66.5,0.0,86.5,0.0,86.5,0.0,0.02378943359025879,0.0,-79.83333333333333,39.916666666666664,33.25,43.25,43.25,35.23758646672612,43.26300382543958,43.26300382543958,0.5,0.75,1,Kompeten,60200125119,A,UNIFIED
-2.75,-3.0,-3.0,85.75,83.0,86.0,83.0,86.0,83.0,0.29857199941029705,83.0,-2.9166666666666714,84.45833333333333,84.375,84.5,84.5,1.4306903927824497,2.692582403567252,2.692582403567252,1.0,1.0,1,Kompeten,60200125120,A,UNIFIED
-22.5,-42.5,-42.5,64.25,41.75,85.0,42.5,85.0,42.5,0.02662280519979646,42.25,-35.83333333333333,60.166666666666664,53.0,63.75,63.75,34.98392487986447,36.80607966083864,36.80607966083864,0.75,0.75,1,Kompeten,60200125121,A,UNIFIED
10.75,-6.5,-6.5,74.75,85.5,87.5,81.0,87.5,81.0,0.14849735583134496,82.5,-0.75,82.875,80.125,84.25,84.25,7.67605855892202,3.766629793329841,3.766629793329841,1.0,1.0,1,Kompeten,60200125122,A,UNIFIED
3.5,-39.0,-19.0,72.5,76.0,80.0,41.0,80.0,61.0,0.04004196501101936,59.333333333333336,-18.166666666666664,68.41666666666667,74.25,60.5,70.5,9.575359001102779,34.93923296238771,17.628102563804195,1.0,0.875,0,Belum Kompeten,60200125147,A,UNIFIED
8.0,-5.5,-5.5,76.5,84.5,87.5,82.0,87.5,82.0,0.15222990593173855,82.83333333333333,-1.0,83.33333333333333,80.5,84.75,84.75,7.721722605740251,3.2691742076555053,3.2691742076555053,1.0,1.0,1,Kompeten,60200125151,A,UNIFIED
-43.75,-42.5,-42.5,43.75,0.0,84.0,41.5,84.0,41.5,0.02347619731412225,27.666666666666668,-42.91666666666666,49.125,21.875,62.75,62.75,37.888611415569194,36.34126442489309,36.34126442489309,0.25,0.75,0,Belum Kompeten,60200125152,A,UNIFIED
0.75,-1.0,-1.0,88.25,89.0,86.5,85.5,86.5,85.5,0.3163103477715943,86.66666666666667,-0.4166666666666572,86.875,88.625,86.0,86.0,0.649519052838329,2.1213203435596424,2.1213203435596424,1.0,1.0,1,Kompeten,60200125154,A,UNIFIED
-20.75,-6.0,-6.0,85.0,64.25,90.0,84.0,90.0,84.0,0.06780618804034622,77.41666666666667,-10.916666666666657,82.875,74.625,87.0,87.0,18.598975106171846,7.713624310270756,7.713624310270756,1.0,1.0,1,Kompeten,60200125009,B,UNIFIED
1.75,1.5,1.5,87.5,89.25,90.0,91.5,90.0,91.5,0.11481768921460436,90.75,1.5833333333333286,89.95833333333333,88.375,90.75,90.75,1.0825317547305484,9.310612224768036,9.310612224768036,1.0,1.0,1,Kompeten,60200125019,B,UNIFIED
0.0,0.0,0.0,89.0,89.0,90.0,90.0,90.0,90.0,0.10879866308568871,89.66666666666667,0.0,89.66666666666667,89.0,90.0,90.0,0.7905694150420949,10.0,10.0,1.0,1.0,1,Kompeten,60200125020,B,UNIFIED
4.25,-2.5,-2.5,85.5,89.75,92.5,90.0,92.5,90.0,0.1135571794782931,89.91666666666667,-0.25,90.04166666666667,87.625,91.25,91.25,3.8303883615111407,8.926785535678562,8.926785535678562,1.0,1.0,1,Kompeten,60200125021,B,UNIFIED
-0.5,-41.5,-41.5,65.5,65.0,91.5,50.0,91.5,50.0,0.026925798831924967,55.0,-27.83333333333333,68.91666666666667,65.25,70.75,70.75,21.553711977290593,41.43292772662825,41.43292772662825,1.0,1.0,1,Kompeten,60200125035,B,UNIFIED
-44.5,1.0,1.0,85.0,40.5,90.0,91.0,90.0,91.0,0.047769762535505966,74.16666666666667,-14.166666666666657,81.25,62.75,90.5,90.5,22.29770167528483,9.526279441628825,9.526279441628825,1.0,1.0,0,Belum Kompeten,60200125036,B,UNIFIED
-24.5,40.0,40.0,66.25,41.75,50.0,90.0,50.0,90.0,0.02664707069421438,73.91666666666667,18.500000000000007,64.66666666666667,54.0,70.0,70.0,20.787616505987405,41.23105625617661,41.23105625617661,1.0,1.0,1,Kompeten,60200125048,B,UNIFIED
-20.25,0.0,0.0,86.5,66.25,90.0,90.0,90.0,90.0,0.06133279649639935,82.08333333333333,-6.75,85.45833333333333,76.375,90.0,90.0,19.465915724671163,10.0,10.0,1.0,1.0,1,Kompeten,60200125055,B,UNIFIED
