Laporan_Improvement,Respons_Improvement,TP_Improvement,Laporan_EarlyMean,Laporan_LateMean,Respons_EarlyMean,Respons_LateMean,TP_EarlyMean,TP_LateMean,Overall_Consistency,Overall_Recent_Mean,Overall_Trend,Performance_Mean,Laporan_Mean,Respons_Mean,TP_Mean,Laporan_Std,Respons_Std,TP_Std,Laporan_Completion_Rate,Attendance_PreFinal_Rate,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
16.66666666666667,-27.000000000000007,2.3333333333333286,73.33333333333333,90.0,84.66666666666667,57.666666666666664,84.66666666666667,87.0,0.04507958237480236,74.66666666666667,-3.8333333333333286,79.55555555555556,81.66666666666667,71.16666666666667,85.83333333333333,14.66193105365805,31.850780559072994,1.5723301886761005,1.0,0.8333333333333334,1,Kompeten,60200125001,A,UNIFIED
4.0,-0.6666666666666643,14.0,72.5,76.5,56.0,55.333333333333336,69.33333333333333,83.33333333333333,0.0340829361074228,73.25,-4.833333333333329,68.83333333333333,74.5,55.666666666666664,76.33333333333333,17.511900715418264,39.53760516549052,16.669999666733318,1.0,0.6666666666666666,0,Belum Kompeten,60200125006,A,UNIFIED
10.0,-1.6666666666666572,-1.6666666666666572,79.33333333333333,89.33333333333333,86.33333333333333,84.66666666666667,86.33333333333333,84.66666666666667,0.16142143002004491,88.41666666666667,4.583333333333343,85.11111111111111,84.33333333333333,85.5,85.5,8.013876853447538,2.8136571693556887,2.8136571693556887,1.0,1.0,1,Kompeten,60200125007,A,UNIFIED
4.0,-35.33333333333333,8.0,85.0,89.0,56.0,20.666666666666668,69.33333333333333,77.33333333333333,0.03018526777046597,65.75,-18.58333333333333,66.22222222222223,87.0,38.333333333333336,73.33333333333333,2.753785273643051,39.09674609933102,17.336538165261125,1.0,0.6666666666666666,1,Kompeten,60200125016,A,UNIFIED
-27.666666666666668,-26.666666666666668,-26.666666666666668,27.666666666666668,0.0,26.666666666666668,0.0,26.666666666666668,0.0,0.03205905190474903,0.0,-40.5,13.5,13.833333333333334,13.333333333333334,13.333333333333334,30.932273688747095,29.81423969999719,29.81423969999719,0.16666666666666666,0.6666666666666666,0,Belum Kompeten,60200125017,A,UNIFIED
26.666666666666664,1.3333333333333286,1.3333333333333286,62.333333333333336,89.0,54.333333333333336,55.666666666666664,67.66666666666667,69.0,0.03368971370048942,85.75,8.583333333333329,66.33333333333333,75.66666666666667,55.0,68.33333333333333,18.21095518881118,38.91015291668744,20.07209228976613,1.0,0.75,1,Kompeten,60200125031,A,UNIFIED
-2.833333333333343,-9.0,-8.833333333333343,84.16666666666667,81.33333333333333,85.66666666666667,76.66666666666667,85.66666666666667,76.83333333333333,0.1134532857164688,75.66666666666667,-9.166666666666657,81.72222222222223,82.75,81.16666666666667,81.25,7.712273767616569,7.797791710193057,7.830229881682913,1.0,0.8333333333333334,1,Kompeten,60200125032,A,UNIFIED
3.8333333333333286,-27.333333333333336,1.0,86.16666666666667,90.0,85.0,57.666666666666664,85.0,86.0,0.04745176095341585,88.25,3.0833333333333286,81.63888888888889,88.08333333333333,71.33333333333333,85.5,3.074311124282786,32.05030767749699,3.095695936834452,1.0,1.0,1,Kompeten,60200125033,A,UNIFIED
16.666666666666657,19.999999999999993,-10.333333333333343,73.16666666666667,89.83333333333333,57.333333333333336,77.33333333333333,87.66666666666667,77.33333333333333,0.046696603733914786,80.16666666666667,10.666666666666671,77.11111111111111,81.5,67.33333333333333,82.5,10.095378480605206,30.804040139061126,7.455423082115014,1.0,0.8333333333333334,1,Kompeten,60200125034,A,UNIFIED
16.833333333333343,-30.33333333333333,-2.0,72.83333333333333,89.66666666666667,88.33333333333333,58.0,88.33333333333333,86.33333333333333,0.046150625461884934,88.41666666666667,3.25,80.58333333333333,81.25,73.16666666666667,87.33333333333333,10.090218035305282,32.774058169364515,2.1343747458109497,1.0,1.0,1,Kompeten,60200125049,A,UNIFIED
