TP_Mean,TP_Std,TP_Min,TP_Max,TP_Last2_Mean,TP_First2_Mean,TP_Trend,Respons_Mean,Respons_Std,Respons_Min,Respons_Max,Respons_Last2_Mean,Respons_Trend,Laporan_Mean,Laporan_Std,Laporan_Min,Laporan_Max,Laporan_Last2_Mean,Laporan_Trend,Attendance_PreFinal_Rate,Absence_Count,Partial_Attendance_Count,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Mean,Performance_Std,Performance_Late_Mean,Performance_Trend,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
77.16666666666667,16.727389382553262,40.0,87.0,0.0,85.0,-20.5,70.5,31.58454263296104,0.0,87.0,0.0,-40.5,81.0,9.411239481143202,66.5,91.5,80.0,11.083333333333329,0.875,1,0,0.75,0.625,0.875,76.47368421052632,21.330404346483625,80.0,0.9166666666666714,1,Kompeten,60200125078,A,UNIFIED
77.66666666666667,17.288403306519918,40.0,90.0,0.0,87.5,13.25,70.16666666666667,31.5722275988812,0.0,90.0,0.0,20.75,79.28571428571429,18.66214109377811,50.0,95.0,95.0,24.0,0.875,1,0,0.75,0.625,0.875,75.89473684210526,23.517394988306233,95.0,13.666666666666671,1,Kompeten,60200125099,A,UNIFIED
81.5,7.783529619223745,65.0,89.0,0.0,85.0,-6.75,80.66666666666667,7.180219742846005,65.0,87.0,0.0,-9.25,82.71428571428571,6.734013571081529,68.0,90.5,80.0,5.75,1.0,0,0,0.75,0.75,0.875,81.6842105263158,7.269638603765863,80.0,-1.9166666666666714,0,Belum Kompeten,60200125100,A,UNIFIED
85.66666666666667,2.2110831935702664,82.0,88.0,0.0,87.5,0.5,85.66666666666667,2.2110831935702664,82.0,88.0,0.0,0.5,83.71428571428571,7.410692771053107,67.5,90.5,80.0,5.75,1.0,0,0,0.75,0.75,0.875,84.94736842105263,4.920137826594595,80.0,-4.083333333333329,1,Kompeten,60200125101,A,UNIFIED
81.58333333333333,6.660935036130855,67.0,86.5,0.0,85.75,-9.125,81.58333333333333,6.660935036130855,67.0,86.5,0.0,-9.125,83.42857142857143,7.168525308739645,68.0,90.5,80.0,5.666666666666671,1.0,0,0,0.75,0.75,0.875,82.26315789473684,6.909886930776935,80.0,-2.25,1,Kompeten,60200125114,A,UNIFIED
53.833333333333336,38.12443077899292,0.0,85.0,0.0,82.5,-20.75,53.833333333333336,38.12443077899292,0.0,85.0,0.0,-20.75,27.0,33.33380952040821,0.0,84.0,65.0,-9.333333333333332,0.75,2,0,0.5,0.5,0.375,43.94736842105263,38.66383279964627,65.0,-4.0,0,Belum Kompeten,60200125116,A,UNIFIED
83.16666666666667,1.3437096247164249,81.0,85.0,0.0,84.0,1.25,83.16666666666667,1.3437096247164249,81.0,85.0,0.0,1.25,83.42857142857143,7.645860558071236,67.5,92.5,80.0,7.416666666666671,1.0,0,0,0.75,0.75,0.875,83.26315789473684,4.763812109768239,80.0,-1.0,1,Kompeten,60200125117,A,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.285714285714286,22.745261897272368,0.0,65.0,65.0,21.666666666666668,0.5,0,8,0.0,0.0,0.125,3.4210526315789473,14.514297087513345,65.0,65.0,0,Belum Kompeten,60200125118,A,UNIFIED
57.166666666666664,40.47392850822476,0.0,88.0,0.0,86.5,41.75,57.166666666666664,40.47392850822476,0.0,88.0,0.0,41.75,42.42857142857143,38.25425146440642,0.0,84.0,80.0,21.416666666666664,0.75,2,0,0.5,0.5,0.5,51.73684210526316,40.30259506502117,80.0,0.1666666666666714,1,Kompeten,60200125119,A,UNIFIED
84.83333333333333,2.4094720491334933,80.0,87.0,0.0,86.0,1.0,70.33333333333333,31.531289574361246,0.0,87.0,0.0,-42.5,82.64285714285714,7.529533687488251,65.0,90.0,65.0,-4.041666666666671,0.875,1,0,0.75,0.625,0.875,79.44736842105263,19.386576159292684,65.0,-20.91666666666667,1,Kompeten,60200125120,A,UNIFIED
70.83333333333333,31.682890580809627,0.0,86.0,0.0,85.0,21.25,70.83333333333333,31.682890580809627,0.0,86.0,0.0,21.25,54.0,36.86946084304926,0.0,86.0,80.0,2.3333333333333357,0.875,1,0,0.625,0.625,0.625,64.63157894736842,34.651589963241356,80.0,1.9166666666666714,1,Kompeten,60200125121,A,UNIFIED
82.0,7.979139469057215,66.0,90.0,0.0,87.5,-6.75,81.16666666666667,7.4479676571681095,66.0,90.0,0.0,-9.25,82.92857142857143,7.326217945690335,67.0,90.0,80.0,6.541666666666671,1.0,0,0,0.75,0.75,0.875,82.07894736842105,7.611043150536934,80.0,-3.25,1,Kompeten,60200125122,A,UNIFIED
74.66666666666667,15.648926125740667,40.0,86.0,0.0,80.0,12.5,68.0,30.48496897379647,0.0,86.0,0.0,22.5,81.28571428571429,10.91479056424009,65.0,92.5,90.0,16.41666666666667,0.9375,0,1,0.75,0.625,0.875,75.0,21.0894086663125,90.0,12.5,0,Belum Kompeten,60200125147,A,UNIFIED
84.83333333333333,2.733536577809454,82.0,90.0,0.0,87.5,0.25,84.83333333333333,2.733536577809454,82.0,90.0,0.0,0.25,83.14285714285714,7.278708115918284,67.5,90.5,80.0,6.166666666666671,1.0,0,0,0.75,0.75,0.875,84.21052631578948,4.990295291003604,80.0,-3.8333333333333286,1,Kompeten,60200125151,A,UNIFIED
55.5,39.318146785761236,0.0,88.0,0.0,84.0,-21.75,55.5,39.318146785761236,0.0,88.0,0.0,-21.75,34.07142857142857,39.912787577979294,0.0,87.5,65.0,28.458333333333336,0.75,2,0,0.5,0.5,0.375,47.60526315789474,40.86710778382731,65.0,-5.583333333333329,0,Belum Kompeten,60200125152,A,UNIFIED
83.33333333333333,7.110243002567181,68.0,88.0,0.0,86.5,-8.0,83.33333333333333,7.110243002567181,68.0,88.0,0.0,-8.0,89.57142857142857,1.2657175104763823,87.5,91.5,90.0,2.2083333333333286,1.0,0,0,0.75,0.75,0.875,85.63157894736842,6.447851754171098,90.0,2.9166666666666714,1,Kompeten,60200125154,A,UNIFIED
90.125,7.896795236043543,80.0,100.0,93.5,90.0,6.25,90.125,7.896795236043543,80.0,100.0,93.5,6.25,58.4375,20.85880734246328,41.5,90.0,42.0,-32.375,1.0,0,0,1.0,1.0,1.0,79.5625,20.24192868980951,76.33333333333333,-12.0,1,Kompeten,60200125009,B,UNIFIED
92.0,8.231038816577165,80.0,100.0,93.5,90.0,2.5,92.0,8.231038816577165,80.0,100.0,93.5,2.5,76.5625,19.5583062597455,42.5,90.0,42.75,-23.625,1.0,0,0,1.0,1.0,1.0,86.85416666666667,15.021151175555383,76.58333333333333,-12.583333333333343,1,Kompeten,60200125019,B,UNIFIED
93.375,8.788308995478026,80.0,100.0,93.5,90.0,6.75,93.375,8.788308995478026,80.0,100.0,93.5,6.75,82.375,14.995311767349154,43.0,90.0,63.25,-13.25,1.0,0,0,1.0,1.0,1.0,89.70833333333333,12.38271364532921,83.41666666666667,-6.25,1,Kompeten,60200125020,B,UNIFIED
92.25,7.980444849756184,80.0,100.0,93.5,92.5,2.0,92.25,7.980444849756184,80.0,100.0,93.5,2.0,81.3125,14.773154495570674,43.0,90.0,63.75,-12.625,1.0,0,0,1.0,1.0,1.0,88.60416666666667,11.907612381955037,83.58333333333333,-6.583333333333343,1,Kompeten,60200125021,B,UNIFIED
81.625,31.71331542112871,0.0,100.0,93.5,91.5,21.75,81.625,31.71331542112871,0.0,100.0,93.5,21.75,48.3125,26.141367480489617,0.0,88.0,20.5,-33.875,1.0,0,0,0.875,0.875,0.875,70.52083333333333,33.836149051552674,69.16666666666667,-13.666666666666657,1,Kompeten,60200125035,B,UNIFIED
92.0,8.2915619758885,80.0,100.0,87.0,90.0,3.0,92.0,8.2915619758885,80.0,100.0,87.0,3.0,51.25,19.62619423117992,35.0,87.0,42.0,-23.0,1.0,0,0,1.0,1.0,1.0,78.41666666666667,23.307575068109415,72.0,-16.33333333333333,0,Belum Kompeten,60200125036,B,UNIFIED
60.0,46.9041575982343,0.0,100.0,0.0,50.0,-20.0,60.0,46.9041575982343,0.0,100.0,0.0,-20.0,43.0,22.533308678487497,0.0,90.0,21.5,-22.0,0.75,2,0,0.625,0.625,0.875,54.333333333333336,41.232740496950825,7.166666666666667,-48.25,1,Kompeten,60200125048,B,UNIFIED
89.25,8.59869176095992,80.0,100.0,86.0,90.0,-1.5,89.25,8.59869176095992,80.0,100.0,86.0,-1.5,64.25,22.5,40.0,90.0,62.0,-24.25,1.0,0,0,1.0,1.0,1.0,80.91666666666667,18.89260584343927,78.0,-10.833333333333329,1,Kompeten,60200125055,B,UNIFIED
90.125,8.115378919064716,80.0,100.0,93.5,90.0,6.75,90.125,8.115378919064716,80.0,100.0,93.5,6.75,64.125,21.119821850574404,43.0,88.0,64.0,-21.0,1.0,0,0,1.0,1.0,1.0,81.45833333333333,18.5151495778157,83.66666666666667,-4.25,1,Kompeten,60200125056,B,UNIFIED
