,Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean
Attendance_PreFinal_Rate,1.0,0.8605850648941294,0.9215932031837235,0.6922149390105371
TP_Mean,0.8605850648941294,1.0,0.936714853132316,0.8309281570057685
Respons_Mean,0.9215932031837235,0.936714853132316,1.0,0.72475617566286
Laporan_Mean,0.6922149390105371,0.8309281570057685,0.72475617566286,1.0
