,Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean
Attendance_PreFinal_Rate,1.0,0.7795840042396843,0.8511820177365467,0.35197605151728173
TP_Mean,0.7795840042396843,1.0,0.9205369413578355,0.5337146787430891
Respons_Mean,0.8511820177365467,0.9205369413578355,1.0,0.39190068166893394
Laporan_Mean,0.35197605151728173,0.5337146787430891,0.39190068166893394,1.0
