,Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean
Attendance_PreFinal_Rate,1.0,0.8110802706561513,0.9138423029736079,0.6454463456003373
TP_Mean,0.8110802706561513,1.0,0.9242746683106419,0.8063883065061006
Respons_Mean,0.9138423029736079,0.9242746683106419,1.0,0.688058283411974
Laporan_Mean,0.6454463456003373,0.8063883065061006,0.688058283411974,1.0
