,TP_Mean,TP_Std,TP_Min,TP_Max,TP_Last2_Mean,TP_First2_Mean,TP_Trend,Respons_Mean,Respons_Std,Respons_Min,Respons_Max,Respons_Last2_Mean,Respons_Trend,Laporan_Mean,Laporan_Std,Laporan_Min,Laporan_Max,Laporan_Last2_Mean,Laporan_Trend,Attendance_PreFinal_Rate,Absence_Count,Partial_Attendance_Count,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Mean,Performance_Std,Performance_Late_Mean,Performance_Trend
TP_Mean,1.0,-0.5582581864530624,0.6520943336907324,0.49859006277809664,0.3643517577565381,0.7762776862635233,0.19400601561247607,0.9205369413578355,-0.490098410055756,0.5625005192639895,0.4965711978641148,0.3643517577565381,0.13959367567228653,0.5337146787430891,-0.3091266525411389,0.46386577690536807,0.41628016732309026,0.2340114470534769,-0.033888396980290954,0.779584004239684,-0.4772944427249905,-0.6400874813849855,0.9085735640788515,0.8073473733124303,0.641203956624844,0.9372327912525501,-0.4343555356396408,0.4964922898894632,-0.037598736589183945
TP_Std,-0.5582581864530624,1.0,-0.9268112871700371,0.2983664003494361,0.07076666984913954,-0.22570852008129327,-0.23348030283099055,-0.42050804613291,0.7656070075233581,-0.6732803448361218,0.3006474914056387,0.07076666984913954,-0.12674475522730744,-0.4537730312540797,0.5551007354070112,-0.5978955457285312,-0.137103964089504,-0.4505082770924558,-0.32306416632058105,-0.38700608055954044,0.47352289605078135,-0.06022448560202527,-0.33093668165815915,-0.21968553278439207,-0.16285352315705415,-0.5579751622782948,0.8014325863247733,-0.6284821781694775,-0.4152295575236035
TP_Min,0.6520943336907324,-0.9268112871700371,1.0,-0.015045185955225712,0.036681322090372476,0.34107584704070454,0.22340233639880527,0.5307536093680777,-0.7319229283905818,0.7771398187193086,-0.01742703619389167,0.036681322090372476,0.1317321990325492,0.4538720358411807,-0.4699362476233689,0.5344360163139574,0.19013721654853588,0.34824526574483017,0.23287584534814504,0.4808974861176124,-0.43700373772211826,-0.1670535363033479,0.4579800370245738,0.35369718897899854,0.23323625981488205,0.6324863371598868,-0.7093612862050961,0.5548906958943832,0.28275376487075893
TP_Max,0.49859006277809664,0.2983664003494361,-0.015045185955225712,1.0,0.5160487229704078,0.5607832923658074,-0.019809533239699157,0.5537074635666206,0.14075455966036585,0.12682754438295257,0.9991786714989427,0.5160487229704078,0.03098718141207715,0.07767795335414883,0.19451614137770395,-0.08750508016011732,0.244956669827537,-0.24696996213878614,-0.37691148896127713,0.4641195288189215,-0.04324573186193109,-0.7659646757427968,0.6418019999237011,0.6532267574899561,0.4523167656551168,0.4199023110188152,0.2758353139517451,-0.08425520819755239,-0.4056116108121065
TP_Last2_Mean,0.3643517577565381,0.07076666984913954,0.036681322090372476,0.5160487229704078,1.0,0.20946227515414895,0.31593387593368283,0.5017661611597671,-0.21567202993042622,0.30834890560826955,0.5193482080922706,1.0,0.3229722411728024,-0.2627591843758054,0.3034462437626858,-0.21230449307598062,0.029033272753298145,-0.2754988832465647,-0.33904743034197493,0.4357580305463252,-0.38336634360382676,-0.17153259570892926,0.652261430491987,0.7249266076895042,0.2471108307240181,0.20693084960774114,0.17593576130904345,0.30134051924622224,0.17103440217159857
TP_First2_Mean,0.7762776862635233,-0.22570852008129327,0.34107584704070454,0.5607832923658074,0.20946227515414895,1.0,-0.15211642320362778,0.7340722358070234,-0.21306929550244394,0.3136556459510348,0.5588351808151367,0.2094622751541489,-0.08809999056234777,0.40403176009379366,-0.06293397616290207,0.2160865815777462,0.37661726155242337,0.08179404201722124,-0.18698119062987975,0.6787559193878603,-0.3546449986257909,-0.654628968774687,0.7228730245494362,0.6533536389311498,0.4943770020850114,0.7285395537152536,-0.16651053912036665,0.21261685512999942,-0.396857561349725
TP_Trend,0.19400601561247607,-0.23348030283099055,0.22340233639880527,-0.019809533239699157,0.31593387593368283,-0.15211642320362778,1.0,0.14165873247679714,-0.16532729742145538,0.1663666102877568,-0.018171837866882506,0.31593387593368283,0.805885929609075,0.038628826288722676,-0.14095069983518443,0.21650830552384842,-0.05216122210616583,0.28948295026876647,0.3275567248553264,0.08528450221796596,-0.07409505838022948,-0.03506632132403949,0.15157377997520424,0.0915182897988883,0.0641081353050637,0.13978420048451415,-0.1397421011344686,0.6244165942603281,0.6561466909814031
Respons_Mean,0.9205369413578355,-0.42050804613291,0.5307536093680777,0.5537074635666206,0.5017661611597671,0.7340722358070234,0.14165873247679714,1.0,-0.6150794390331711,0.6850969143204986,0.556381252447091,0.5017661611597671,0.18685684142575643,0.39190068166893394,-0.170046617691783,0.3199617667002264,0.38349936544861296,0.1430980012835261,-0.13121798425203998,0.8511820177365467,-0.575601625498202,-0.611845491648882,0.9075237567367024,0.9331705547268873,0.5940383841783616,0.8753010983134037,-0.42244246925763745,0.4403886407982779,-0.06201179230494752
Respons_Std,-0.490098410055756,0.7656070075233581,-0.7319229283905818,0.14075455966036585,-0.21567202993042622,-0.21306929550244394,-0.16532729742145538,-0.6150794390331711,1.0,-0.9287209230068434,0.1363250965984305,-0.21567202993042625,-0.20005629238330327,-0.22968469680914996,0.3098723743674156,-0.3578413535502543,-0.10688912094858904,-0.2818181063713983,-0.12877669215087637,-0.5452884170419529,0.6458339258766156,-0.05073582920208541,-0.41007473546415973,-0.5016006608561555,-0.13714223808323484,-0.506540265956696,0.7808058622653052,-0.5416062683593714,-0.34605288016343505
Respons_Min,0.5625005192639895,-0.6732803448361218,0.7771398187193086,0.12682754438295257,0.30834890560826955,0.3136556459510348,0.1663666102877568,0.6850969143204986,-0.9287209230068434,1.0,0.1312877736024747,0.30834890560826955,0.19732522346544204,0.22127825770961262,-0.2170633265461156,0.28458959899113134,0.14880609502251216,0.1739580869437644,0.041668583638804525,0.5921999688334983,-0.5642650079713318,-0.16398967845459475,0.5196497599913511,0.5994993777095154,0.200944644231755,0.5547648156972596,-0.662352357348621,0.45277972432690844,0.20834410130761746
