,Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility
Attendance_PreFinal_Rate,1.0,0.8110802706561513,0.9138423029736079,0.6454463456003373,0.7833796992087024,0.8895503334521275,0.6954032182375245,-0.46921985222875495
TP_Mean,0.8110802706561513,1.0,0.9242746683106419,0.8063883065061006,0.9635701707820004,0.8785077152956733,0.8471978669144616,-0.4739251758177743
Respons_Mean,0.9138423029736079,0.9242746683106419,1.0,0.688058283411974,0.9052154529670345,0.9724600453422241,0.7587765169189143,-0.49610437313952427
Laporan_Mean,0.6454463456003373,0.8063883065061006,0.688058283411974,1.0,0.7068517336087677,0.5843674529443719,0.8802214832052851,-0.631249587354161
TP_Completion_Rate,0.7833796992087024,0.9635701707820004,0.9052154529670345,0.7068517336087677,1.0,0.9183873357157953,0.8289187088722724,-0.3353926512991467
Respons_Completion_Rate,0.8895503334521275,0.8785077152956733,0.9724600453422241,0.5843674529443719,0.9183873357157953,1.0,0.7239086653081453,-0.3634001083856345
Laporan_Completion_Rate,0.6954032182375245,0.8471978669144616,0.7587765169189143,0.8802214832052851,0.8289187088722724,0.7239086653081453,1.0,-0.4547523012833625
Performance_Volatility,-0.46921985222875495,-0.4739251758177743,-0.49610437313952427,-0.631249587354161,-0.3353926512991467,-0.3634001083856345,-0.4547523012833625,1.0
