population,scenario,model,best_threshold,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_lower,cv_balanced_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_lower,cv_roc_auc_ci_upper,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_recall_belum_kompeten,best_params
P2,S1,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S1,LogisticRegression,0.55,0.6383157894736842,0.0889709716425186,0.600833072728155,0.6757985062192133,0.6392171717171717,0.0871228809677668,0.6025130399191028,0.6759213035152407,0.6439589299589299,0.08786311249860218,0.6069429448868752,0.6809749150309846,0.6392171717171717,0.0871228809677668,0.6025130399191028,0.6759213035152407,0.6305421835534233,0.08929535875437164,0.5929228052653144,0.6681615618415322,0.634040404040404,0.10958875453437673,0.5878715900005634,0.6802092180802445,0.68,0.6833333333333333,0.6762820512820513,0.6833333333333333,0.6753246753246753,0.6399999999999999,0.7,"{""model__class_weight"": ""balanced"", ""model__C"": 0.1}"
P2,S2,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S2,LogisticRegression,0.5,0.6757894736842105,0.06496536473351358,0.6484201157956587,0.7031588315727623,0.6695959595959596,0.058422872816700055,0.644982898135339,0.6942090210565802,0.6807610167610167,0.07150796931646827,0.6506353149792429,0.7108867185427906,0.6695959595959596,0.058422872816700055,0.644982898135339,0.6942090210565802,0.6651781495661426,0.06265376990713063,0.6387826469981316,0.6915736521341537,0.6498484848484849,0.09839932183764458,0.6083936840263481,0.6913032856706217,0.6,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.6666666666666667,0.5,"{""model__class_weight"": ""balanced"", ""model__C"": 1.0}"
P2,S3,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S3,LogisticRegression,0.5,0.6467368421052632,0.07750714380442761,0.6140837389262934,0.6793899452842329,0.6333585858585858,0.07632391008784092,0.6012039690221141,0.6655132026950575,0.6528340336134453,0.09040577401272212,0.6147468467825017,0.6909212204443889,0.6333585858585858,0.07632391008784092,0.6012039690221141,0.6655132026950575,0.6264091870812963,0.08025684734787197,0.5925976570901836,0.660220717072409,0.6485732323232323,0.11187337957870672,0.6014419251035888,0.6957045395428757,0.56,0.5166666666666666,0.5198412698412699,0.5166666666666666,0.5098039215686274,0.5933333333333333,0.3,"{""model__class_weight"": null, ""model__C"": 10.0}"
P2,S4,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S4,LogisticRegression,0.5,0.6812631578947368,0.10132179066300544,0.6385771457105528,0.7239491700789208,0.6724494949494949,0.09792001326103424,0.6311966227708147,0.7137023671281751,0.6851777111777112,0.10912712646990536,0.6392033771313217,0.7311520452241007,0.6724494949494949,0.09792001326103424,0.6311966227708147,0.7137023671281751,0.6696482035919241,0.10102055564276946,0.6270890991702259,0.7122073080136223,0.6512878787878787,0.11622810871420079,0.6023219610691495,0.700253796506608,0.68,0.7,0.6948051948051948,0.7,0.6794871794871795,0.74,0.8,"{""model__class_weight"": ""balanced"", ""model__C"": 0.1}"
P2,S5,Dummy,0.3,0.5773684210526318,0.015929206263601618,0.5706575813783311,0.5840792607269324,0.5,0.0,,,0.2886842105263159,0.007964603131800809,0.28532879068916556,0.2920396303634662,0.5,0.0,,,0.36596774193548387,0.006432768176836991,0.363257671189816,0.36867781268115174,0.5,0.0,,,0.6,0.5,0.3,0.5,0.375,0.5,0.0,{}
P2,S5,LogisticRegression,0.45,0.6689473684210527,0.09176025609346321,0.6302895497623114,0.707605187079794,0.6598989898989899,0.08743128833886539,0.6230649286877684,0.6967330511102113,0.6730563603063604,0.09874765089821248,0.6314548114014448,0.714657909211276,0.6598989898989899,0.08743128833886539,0.6230649286877684,0.6967330511102113,0.6565392323420188,0.09033767976926377,0.6184807330390683,0.6945977316449694,0.6448863636363636,0.10590883200114788,0.6002678697898635,0.6895048574828638,0.64,0.6499999999999999,0.6442307692307692,0.6499999999999999,0.6376811594202898,0.72,0.7,"{""model__class_weight"": ""balanced"", ""model__C"": 0.1}"
